B: 	oken ik hebben deze omschrijven als een soort hoog tafel met twee poot 
A: 	die dan weten ik het al meteen en daar staan ook een 
B: 	met een soort vierkant bak er op 
A: 	jajaja inderdaad nou zestien 
A: 	die tafel met twee poot 
B: 	ja met vierkant bak er op 
A: 	ja 
B: 	ok P 
B: 	ja mogen we zo ook communiceren gewoon goed kijken ja 
A: 	als je goed kijken in mijn bril kunnen je misschien 
B: 	ok tafel met twee poot 
A: 	ja dat weten ik al 
B: 	met vierkant bak 
A: 	o 
A: 	o veertien 
A: 	ja met die tafel en met twee poot en die blok er op dat blok 
B: 	ja ik zijn hem aan het zoeken o ja N 
B: 	tafel met twee poot vierkant blok 
A: 	ja ja ja tien 
A: 	tafel met twee poot 
B: 	ja met vierkant ding erop D 
