A: 	er zijn twee ja handvaat zeggen maar 
A: 	één verticaal bovenop staan en en de ander die er link een beetje uitkomen 
A: 	dan hebben je ook nog vier kubus die soort van in elkaar zitten aan de rechterkant 
A: 	die eruit steken 
B: 	en dan daarachter een soort van een slurf 
A: 	ja 
A: 	achter zijn er een slurf ja 
B: 	ja 
B: 	g 
B: 	deze hebben twee handvat één bovenop één aan de linkerkant 
B: 	en aan de rechterkant die vierhoekjes die steeds klein worden 
A: 	zeven 
A: 	deze hebben twee handvat één die rechtop op de bovenkant staan en één die link eruit komen 
A: 	en aan de rechterkant van de emmer zijn nog kubus die zo klein worden 
B: 	ja 
B: 	n 
B: 	deze hebben een handvat bovenop een handvat links en aan de rechterkant die blok die steeds klein worden 
A: 	sorry nog een keer 
B: 	handvat bovenop een handvat links 
A: 	ja 
A: 	ja 
B: 	en aan de rechterkant de blok die 
A: 	zullen we die theekop noemen 
A: 	zes 
B: 	okee Theekop ja zijn goed 
A: 	zes 
A: 	dit zijn de theekop 
B: 	h 
B: 	dit zijn de theekop 
A: 	zeven 
