B: 	ja 
B: 	deze zijn helemaal onderin zijn een soort vierkant plaat en daar staan het geheel op 
A: 	ja die lijken een beetje op Pippi Langkous vinden ik zelf met die ding aan de zijkant van het hoofd 
B: 	ja ja 
B: 	ik hebben het noemen als een varkensneus maar varkensneus met gek oor 
A: 	ja 
B: 	ja 
A: 	dat zijn nummer vijf 
A: 	deze hebben ik weer die op het platform staan met twee staart aan de zijkant 
B: 	ja 
B: 	J 
A: 	en die staan bij mij helemaal rechts onderin 
B: 	Pippi Langkous 
A: 	ja dat zijn elf 
A: 	ja die Pippi Langkous 
A: 	dat zijn waar we voor gaan 
B: 	ja 
B: 	dat zijn bij mij P 
B: 	ik hebben Pippi Langkous 
A: 	nummer negen 
A: 	ik hebben Pippi Langkous 
B: 	ja dat zijn bij mij L 
