A: 	bovenop zitten zo'n eivorm en helemaal aan de voorkant zitten zo'n recht staaf recht naar beneden 
B: 	ja 
B: 	okee en aan de zijkant hebben je nog iets aan de zijkant zitten 
A: 	verticaal 
A: 	aan de zijkant hebben je nog twee scheve beugelt 
B: 	ja ja dan weten ik 
B: 	dan zijn het n 
B: 	deze hebben een aan de voorkant een vrij groot rechthoekig staand vlak 
B: 	ongeveer zo groot 
B: 	en er zitten een kegel bovenop 
B: 	en aan de zijkant hebben je zo'n ja ook een kegel die wat kromm lopen 
B: 	aan de linkerkant 
B: 	kunnen je die er zijn niet in ieder geval niet heel veel object waarbij een een kegel of de sorry een bal op de op de op het voorwerp zelf liggen 
B: 	op dat 
A: 	er liggen een bal bovenop 
B: 	ja liggen een bal op dat op dat basic 
A: 	ja 
B: 	ding 
B: 	een 
A: 	wachten even hoor 
B: 	okee en dan dan hebben je dus aan de voorkant een daar zien ik er ook niet heel veel van een zo'n groot blok 
A: 	gewoon die zo recht naar beneden gaan 
B: 	zien je 
B: 	ja precies 
A: 	en dan twee hendelt aan de zijkant 
B: 	zitten twee hendelt aan de zijkant 
A: 	okee dat zijn elf 
B: 	ja 
A: 	deze zijn waarmee de bal op het ding liggen 
A: 	en met zo'n rechthoekig rechthoek aan de voorkant 
B: 	ja 
A: 	ja 
B: 	ja dat zijn h 
B: 	dit zijn met een bal bovenop 
B: 	en de in ieder geval een rechthoek voor 
A: 	ja elf 
A: 	dit zijn met zo'n ei aan de bovenkant en zo'n rechthoek aan de voorkant 
B: 	ja precies die staan er los voor toch 
A: 	ja 
A: 	ja 
B: 	ja 
B: 	dat zijn c 
B: 	dit zijn met een bal bovenop en daarvoor hebben je een groot 
A: 	die rechthoek 
B: 	ja 
A: 	ja veertien 
