A: 	ok deze hebben een soort piramide hoed achtig iets 
B: 	ah daar zijn er maar één van toch 
A: 	ja volgens mij wel ja hij hebben aan de voorkant nog best wel een groot figuur 
B: 	ja dan zijn het J 
A: 	ok 
B: 	hum dit zijn die piramide op dat hoofd 
A: 	ja dit zijn zes 
A: 	o dit zijn met de piramide erop 
B: 	ok dat zijn E 
B: 	dit zijn met de piramide bovenop 
A: 	ok dat zijn tien 
A: 	dit zijn de piramide bovenop 
B: 	ja dat zijn G 
B: 	dit zijn de piramide er bovenop 
A: 	ja dat zijn tien 
