B: 	oké deze zien eruit alsof er een soort tafel vastmaken zijn aan het object 
B: 	en dat op dat tafel nog een komme staan eigenlijk 
B: 	dus je zien je zien 
A: 	ja ja ik snapen wat je bedoelen dat zijn een soort van ontbijtopbedtafelt 
B: 	ja 
B: 	ja precies zo zo hebben ik het net ook een beetje 
A: 	ja ja ja 
A: 	ja 
A: 	zestien 
B: 	ja 
A: 	dit zijn eigenlijk weer dat ontbijtopbedtafelt 
B: 	oké ja ja dat zijn P 
A: 	met dat bak erop 
B: 	oké dit zijn ja tafel ontbijttafeltje met bakje erop 
A: 	ja nou dat zijn nummer veertien 
A: 	dit zijn eigenlijk dat ontbijttafeltje weer met dat bak erop 
B: 	ik zoeken hem ja dat zijn N 
B: 	ontbijttafel met bakje 
A: 	ja even kijken waar die zitten ja dat zijn nummer tien 
A: 	ja dit zijn het ontbijttafel weer met dat bak erop 
B: 	ja dat zijn D 
