B: 	oké ja ik beschrijven het als Pippi Langkous het hebben aan beide kant drie kraalt laten maar zeggen die uit het kop komen 
A: 	ja 
A: 	ja en aan de onder 
B: 	en dan nog een vierkant eronder en een ronde ding met een haal aan de voorkant 
A: 	ja ja ja 
A: 	ja 
A: 	ja 
A: 	vijf 
A: 	even kijken jij hebben hem volgens mij als Pippi Langkous benoemen 
B: 	ja de met de drie 
A: 	met de drie kraalt en de ja 
B: 	yes 
B: 	J 
B: 	Pinokkio Pippi Langkous sorry Pippi Langkous Pippi Langkous 
A: 	Pippi Langkous oké 
A: 	ja Pippi Langkous 
B: 	Pippi Langkous 
A: 	elf 
A: 	Pippi Langkous 
B: 	ja P 
B: 	Pippi Langkous 
A: 	Pippi Langkous dat zijn negen 
A: 	ja Pippi Langkous 
B: 	Pippi Langkous L 
