A: 	oké bij mij zijn het ik denken dat het een soort van waterpomp zijn maar het zijn een één de basisvorm met dan een soort van vierkant staaf aan de aan de rechtsvoor 
A: 	en dan liggen er een ei bovenop 
B: 	ja en dan twee van die 
A: 	en dan twee van die soort van ding of zo waar je handvaat wat het ook zijn 
B: 	ja 
B: 	ja 
B: 	ja 
B: 	ja oké hebbes 
A: 	ja 
B: 	dat zijn D 
B: 	dit zijn die we net hebben die hoe noemen je dat nou 
B: 	met zo'n paal en ervoor en dan twee van die dinge die eruit komen 
A: 	ja de de pomp 
A: 	met die met dat ei wat erbovenop liggen 
B: 	ja 
B: 	ja die 
A: 	ja ja dat zijn bij mij vijftien 
A: 	dit zijn de pomp 
A: 	met dat ei wat erbovenop liggen met die staaf waar die eigenlijk aan lijken te hangen of zo 
B: 	ja 
B: 	ja 
B: 	dat zijn L 
B: 	dit zijn ik weten niet veel hoe je dat zeggen maar met die bol erop en die staaf voor en dan twee van die dinge die er zo uit 
B: 	hoe noemen je dat nou 
B: 	kop met zo'n rond bol erop en dan zo'n staaf die ervoor staan 
A: 	ja de de pomp 
B: 	ja pomp 
A: 	ja 
B: 	ja 
A: 	ja ja met het ei wat erbovenop liggen 
B: 	ja 
A: 	nummer zes 
A: 	dit zijn de waterpomp zeggen maar met het ei wat erbovenop liggen en dan die twee ding die eruit komen 
B: 	ja 
B: 	J 
B: 	dit zijn de pomp met het ei 
A: 	ja nummer drie 
