A: 	het zijn diegene die hebben aan de rechterkant zo'n soort zo'n soort zo'n verrekijker weten je wel waarmee je kijken 
B: 	het lijken op een vogel 
A: 	en dan maar één 
B: 	dat istek 
B: 	aan de zijkant 
A: 	en dan hebben die bovenop zo'n zo'n ding 
B: 	hij hebben een verrekijker aan de zijkant 
A: 	ja maar één zo'n zo'n met al die blok maar dan maar één want je hebben er ook één met twee 
B: 	ja 
A: 	en staan die dus helemaal helemaal rechts 
B: 	met zo één zo'n kijker eigenlijk een piratending 
A: 	ja 
A: 	en dan 
A: 	ja ja ja zo'n piratending dat zijn ook wel wat ik ? denken en overal van die uitstulpertjes 
B: 	ja 
B: 	dat zijn bij mij nummer E 
A: 	oké 
B: 	dit zijn met die dat kop met die verrekijker 
A: 	met die een verrekijker 
B: 	met die een verrekijker 
A: 	oké dat zijn nummer elf 
A: 	met die een piratenverrekijker 
B: 	maar één 
A: 	ja maar één 
B: 	dat zijn J 
B: 	ik hebben die met die één verrekijker 
A: 	ja dat 
B: 	de piraat 
A: 	dat zijn nummer negen 
A: 	die met die piratenverrekijker 
B: 	boven 
B: 	één 
B: 	ja B 
B: 	ik hebben dat met die een verrekijker 
A: 	ja dat zijn nummer vier 
