A: 	deze hebben een soort van omgekeerde pion uitsteken aan de linkerkant 
A: 	en aan de rechterkant een soort van rond tafeltje 
B: 	ja 
B: 	een soort dienblad of zo 
A: 	ja 
B: 	ja 
B: 	dat zijn L bij mij 
A: 	denken het 
B: 	dit zijn die omgekeeren pion in zijn 
A: 	het misgaan wel makkelijk nu 
B: 	ja 
A: 	ja oké dat zijn zeven 
A: 	dit zijn die met de omgekeerde pion 
B: 	ja dat zijn C bij mij 
B: 	dit zijn de omgekeerde pion 
A: 	ja 
A: 	dat zijn één 
A: 	dit zijn die met de omgekeerde pion 
A: 	en 
B: 	dat zijn A 
B: 	dit zijn de pion 
A: 	dat zijn dertien 
