A: 	het lijken net of dat die een hoed op hebben zeggen maar zo'n vierkant zo'n feesthoed 
B: 	ja en er zitten zo'n ja soort isteken aan de een kant zeker 
A: 	ja aan de een kant hebben je zo'n heel groot blok aan de ander kant hebben je een heel klein klein driehoek nog erachter en onder lijken wel een wiele of zo of wat het ook precies zijn 
B: 	ja 
B: 	dan zijn dat wachten 
B: 	dat zijn J 
B: 	dit zijn dat infeestmutsjen met die blok en zo 
A: 	waar zijn die ? ja wat ik wat zeggen ik ook weer eens ? papieren feestmutsje of zo nee kloppen ja 
B: 	ja ja 
B: 	ja 
A: 	ja zes 
A: 	dit zijn met die papier hoed 
B: 	papieren hoed 
A: 	en die groot of het zijn geen afgebrokkelde vierkant neus 
B: 	ja 
B: 	ja 
B: 	E 
B: 	dit zijn het papieren hoed 
A: 	papieren hoed ja 
A: 	tien 
A: 	dit zijn het het feesthoed het papieren hoed zeggen maar 
B: 	feesthoed ja 
B: 	ah 
B: 	G 
B: 	de feesthoed 
A: 	ja 
A: 	tien 
