B: 	ok deze hebben zeggen maar aan de onderkant zo'n groot schroef erin en dan daaronder zitten een driehoek en daarboven zitten zeggen maar dat object en dan twee vierkant 
A: 	ok 
A: 	hand dat zijn vier 
A: 	ok deze hebben dat lang ding aan de onderkant wat draaien en daar zitten dan weer een driehoek aan vast de bovenkant twee vierkant 
B: 	ja dat zijn A 
B: 	okan ja dit zijn met die schroef onderaan op dat driehoek 
A: 	die wel draaien ok dat zijn tien 
B: 	ja 
A: 	dit zijn dat draaien ding aan de onderkant met de driehoek zeggen maar 
B: 	ja dat zijn L 
B: 	dit zijn met die schroef aan de onderkant op zo'n driehoek 
A: 	ja dat zijn vier 
A: 	o ja dit zijn met die ja wat draaien naar beneden met de driehoek eraan zeggen maar 
B: 	ja dat zijn F 
