A: 	er zitten bovenop het beker een zo'n dinge zo'n trapeziumpje zegmaar 
A: 	en aan de zijkant rechts zitten twee staaf 
A: 	even groot twee vierkant stuk zegmaar 
B: 	soort van precies gelijk 
A: 	ja 
B: 	ja oké ik zien hem N 
B: 	twee streep die precies gelijk zijn aan de rechterkant 
B: 	trapeze zijn het 
A: 	ja 
B: 	op de bovenkant 
A: 	ja 
B: 	linkerkant klein figuurt en linksonder soort staart 
A: 	veertien 
A: 	twee even groot staafjes aan de rechterkant van het dinge 
B: 	ja 
A: 	bovenop een trapeziumme 
A: 	en en dan nog een streep en nog iets eronder 
B: 	ja 
A: 	ja 
B: 	L 
B: 	twee gelijk dinge aan de rechterkant 
B: 	en trapeze aan de bovenkant 
A: 	nog een staart aan de onderkant 
B: 	ja klein staart aan de aan de linkerkant heel klein stuk 
A: 	oké dan denken ik dat ik hem net een fout hebben doen 
B: 	kunnen gebeuren 
A: 	vijfteen 
A: 	twee gelijk balkjes aan de rechterkant 
B: 	ja ik gaan hem zoeken 
A: 	aan de bovenkant zo'n 
B: 	ik weten hem al 
B: 	ja dat zijn zo'n 
A: 	trapeziumpje 
B: 	trapezium 
B: 	G 
B: 	gelijk aan de rechterkant , twee gelijk dinge , en piramide op zijn kop 
B: 	nee piramide op de bovenkant 
B: 	trapezium 
A: 	ja 
A: 	ja 
A: 	twee , en aan de ander kant zitten nog een staart 
B: 	ja 
A: 	ja 
A: 	dertien 
