A: 	ja er zitten een bolle bovenop 
A: 	en aan de voorkant zien je een vierkant staaf die rechtop staan 
B: 	ja 
B: 	ja en hij hebben een soort van twee armp aan de zijkant dan zijn het D 
A: 	ja 
A: 	o jij mogen klikken ja 
B: 	ik moeten klikken toch ja 
B: 	hij hebben zegmaar een bolle bovenop en twee van die armp en een vierkant pilaar aan de voorkant 
A: 	ja vijftien 
A: 	deze hebben een bolle bovenop en dan die armpie en aan de voorkant de pilaar ja 
B: 	pilaar 
B: 	L 
B: 	zegmaar bolletje bovenop twee armp en pilaar aan de voorkant 
A: 	zes 
A: 	die met die armpjes aan de zijkant lang staaf aan de voorkant en bolletje er op 
B: 	J 
B: 	met die armp bolletje bovenop en pilaar aan de voorkant 
A: 	drie 
