A: 	ja deze hebben een een vierkant kop en dan komen er een spijker uit eigenlijk 
A: 	en die prikken dan ergens in wat een soort van hartje zijn wat heel lang uitgerekt zijn 
B: 	ja en een soort van schijf aan de rechterkant ja dat zijn L 
A: 	een schijf ja 
B: 	deze hebben zegmaar zo'n spijker in een uitstekend dat langgerekte har waar je het net over hebben 
A: 	ja zeven 
A: 	deze hebben weer die spijker met dat har en een schijf 
B: 	even kijken 
B: 	ik kunnen hem niet vinden C 
B: 	die met dat uitstekend ding waar die spijker in zitten met dat uitgerekken hartje en rechts dat rond 
A: 	ja één 
A: 	die met dat spijker en het hart en het schijf 
B: 	A 
B: 	zo'n spijker die aan dat steken hartje zitten 
A: 	dertien 
