B: 	ik hebben het rood vierkant 
A: 	ja 
B: 	one's het zijn een de mok en het zitten er zitten een soort van lepel in 
B: 	en hij staan op een verhoging 
B: 	het zullen ook een soort ja toiletachtig bak kunnen zijn 
B: 	en er verdwijnen een soort muntstuk in 
A: 	zijn dat zo'n ruitvorm 
A: 	dat muntstuk 
B: 	nee het zijn een een het zijn wel een muntstuk 
A: 	even kijken 
B: 	het zijn echt een rond zeggen maar 
A: 	ja en mok bedoelen je gewoon dat figuur ja en dan ? wat zeggen je daarna 
B: 	ja 
B: 	er zitten een soort van lepel in 
B: 	tenminste dat lijken een handvat van een lepel 
A: 	ja 
A: 	hebben het twee uitsteeksel aan de linkerkant 
B: 	één uitsteeksel 
A: 	één 
B: 	één uitsteeksel en hij zitten op een soort verhoging 
A: 	ja 
B: 	en er verdwijnen zo'n muntstuk in en daar zien je alleen nog het bovenste stuk van 
A: 	ja 
A: 	en daar zitten dan ook nog zo'n soort van pluimpje aan de voorkant 
A: 	voor dat muntstuk zeggen maar opsteken nog iets naar boven 
B: 	nee voor het voor het muntstuk zijn je hebben de mok 
A: 	aan de rechterkant 
A: 	nee 
A: 	ja 
B: 	dan zitten er een soort van lepeltje in een soort een een druppel 
A: 	ja oké 
A: 	ja 
B: 	dan hebben die een soort uitsteeksel hier en hij staan op een verhoging 
A: 	dat bedoelen ik ja 
A: 	ja 
A: 	dat zijn nummer dertien 
B: 	oké 
B: 	mogen je op de knop drukken 
A: 	dit zijn weer die mok waar dat half muntstuk zo bovenuit komen met een lepeltje daarvoor en aan de linkerkant een balk die daaruit steken 
B: 	en dan ook nog zo'n klein verhoginkje 
A: 	en nog op een verhoginkje ja 
B: 	ja 
B: 	dat zijn bij mij O 
B: 	dit zijn de mok met de lepel het muntstuk zitten op de verhoging en komen een dinge uit 
A: 	ja 
A: 	dat zijn nummer acht 
A: 	dit zijn met dat muntstuk wat erin vallen 
A: 	een lepel erin en aan de linkerkant komen er een staaf uit 
A: 	dus aan de bovenkant vallen er een een muntstuk in 
B: 	ja ik moeten hem even zoeken 
B: 	ik hebben hem 
B: 	dat zijn bij mij C 
B: 	dit zijn de spaarpot met het muntstuk dat erin vallen de lepel zitten op een verhoging en aan de linkerkant steken een een een een tak uit 
A: 	ja 
A: 	link zitten een staaf verhoging ja nummer zeven 
A: 	dit zijn de spaarpot 
B: 	stekker die hebben we ook toch ? nee 
A: 	ja 
B: 	vertel 
A: 	spaarpot 
B: 	de spaarpot ja dat zijn bij mij C 
B: 	dat zijn hem 
A: 	ja 
B: 	als zij dit allemaal horen hebben 
A: 	ja ik denken het wel 
B: 	hallo 
A: 	hallo 
