A: 	deze hebben twee armp aan de zijkant en dan hebben die aan de achterkant een vlak dat schuin omhooggaan 
A: 	en daar komen weer een soort ja watervalle uit 
B: 	ja ik ik hebben hem dat zijn voor mij K 
B: 	even kijken deze zijn 
B: 	even kijken die hebben weer links en rechts een een staaf die uitsteken met een rond bolletje daar aan het einde aan de achterkant dat vierkant plaat met het watervalle 
A: 	ja ik moeten hem even zoeken maar ik weten welk je bedoelen ja 
A: 	dat zijn negen voor mij 
A: 	dit zijn die met de twee armp aan de zijkant en dan achteraan dat ding dat omhooggaan 
A: 	met de waterval 
B: 	ja 
B: 	dat zijn F voor mij 
B: 	dit zijn die met die twee uitsteeksel naar links en rechts het plaat en de waterval 
A: 	waar zijn die 
A: 	ja dat zijn drie voor mij 
A: 	dit zijn die met de waterval aan de achterkant 
B: 	dat zijn L voor mij 
A: 	poot 
B: 	yes dit zijn weer die met die twee uitsteeksel links en rechts het plaat aan de achterkant en de waterval 
A: 	waar zijn die ? ja dat zijn vijf voor mij 
