A: 	ok die mok daar zitten zo'n balk aan en dat zijn een beetje een ja een achtvormig balk die er uit opsteken en daar zitten dan een een een een een stekel in ook een groot stekel 
B: 	en hebben hij een soort vergrootglas 
A: 	ja vergrootglas of platvorm of zo helicopterplatvorm beetje 
B: 	o of o jaja inderdaad best wel echt perfect rond 
A: 	ja jajajaja en daar links zitten dan zo'n achtvormig achtig 
B: 	een soort pacman vormig balk en dan met een spijker er uit ok ja L 
A: 	jajaja precies precies en 
A: 	ja jaja 
A: 	ok 
B: 	soort pacman arm met de spijker er in en een plateaut vergrootglas 
A: 	die weten ik al even kijken waar die staan nog 
A: 	gaan stuk snel als eerst nou 
B: 	ja 
A: 	zeven 
A: 	die met dat platvorm en die stekel op die pacman 
B: 	o ja ja en het ja het vergrootglas wat er ja oke C 
A: 	ja 
A: 	o 
B: 	pacman 
A: 	pacman 
B: 	met de armpiercing of pacman met de spijker er doorheen 
A: 	met armpiercing nee 
B: 	sorry ik nee sorry 
B: 	pacman met de spijker er doorheen en de plateau 
A: 	ja ik weten wel welk je bedoelen 
A: 	o ik zien hem al ik zien hem al ja één 
A: 	die pacman ding 
B: 	A 
B: 	dan pacman 
A: 	ok 
A: 	o dertien 
