A: 	deze lijken een beetje op een korf waar een bal in gooien worden er zitten ook een staaf aan 
A: 	en een ja 
B: 	aan beide kant steken iets iets uit 
A: 	opsteken iets uit ja 
B: 	ja 
B: 	dan denken ik dat ik het al wel weten want er zijn er niet heel veel waar iets van een bal in lijken te gaan vanaf de bovenkant 
B: 	dus dat moeten dan voor mij D zijn 
B: 	dus dat worden dan geel 
B: 	deze even kijken 
B: 	volgens mij hebben we deze al een keer hebben zelfs 
B: 	een soort van korf waar een balle in gaan waar bij je dus links en rechts een staaf hebben en aan de voorkant een staaf die als het zijn de korf omhooghoudt 
A: 	ja die hem vasthouden 
B: 	ja 
A: 	dat zijn vijftien voor mij 
A: 	dit zijn de de korf 
B: 	even kijken ja dat zijn L voor mij 
B: 	dit zijn de korfbal paal weer 
A: 	yes dat zijn zes voor mij 
A: 	dit zijn de korf 
B: 	dat zijn J 
B: 	de korfbalpaal 
A: 	ja 
