A: 	deze ik ik beschrijfen hem als zeggen maar zijn een dakraam die die licht weergeven 
A: 	op op het blok zeggen maar 
B: 	ja dat zijn bij mij L 
B: 	met zo aan de zijkant nog zo'n soort dienblad 
A: 	ja hebben een leuk ja 
B: 	ja 
B: 	ja 
B: 	oké dat zijn L 
A: 	ja 
B: 	oké dit zijn die met dat oberdienblaad en dat dakraam met dat schijnsel 
A: 	ja 
A: 	dat zijn 
B: 	ik vinden het een beetje zo'n Pacmandingetje wat daaronder zitten maar 
A: 	Pacman 
B: 	ja omdat die omdat die zo driekwart rond zijn zeggen maar dat die zo 
A: 	leuk 
B: 	maar 
A: 	juist ja 
A: 	dat zijn het dakraam met het dienblad 
B: 	ja die 
A: 	dat zijn de Pacman oké 
A: 	zijn nummer zeven 
A: 	zijn het dakraam en en het dienblad 
B: 	ja 
B: 	en het die 
B: 	zonder te praten lukken het 
A: 	ja 
B: 	dat zijn bij mij C 
B: 	nu hebben ik die met dat dienblad en dat dakraam 
A: 	nummer één 
A: 	oké 
A: 	ik hebben het dienblad 
B: 	ja die dat zijn A 
B: 	nu hebben ik die met dat dienblad en dat dakraam 
A: 	ja nummer dertien 
