A: 	ik hebben er nu één met zo'n staaf ervoor en zo'n bolle erop 
A: 	en twee ja je zullen je het kunnen zien als armp eigenlijk 
B: 	ja 
A: 	twee dinge aan de zijkant 
B: 	ja 
B: 	dat zijn 
B: 	ja ik denken dat ik wel weten welk 
A: 	oké 
B: 	dat zijn bij mij dan D 
B: 	ja ik hebben nou ook weer die een die hebben we al hebben met die staaf zeggen maar 
B: 	ervoor en dan twee uitsteeksel aan de zijkant en een bolle aan de bovenkant ja 
A: 	een bolle erop 
A: 	oké dat zijn nummer vijftien 
A: 	die staaf ervoor dat bolle erop en die twee steeksel uit 
B: 	ja dat zijn bij mij L 
B: 	nou hebben weer die staaf aan de voorkant en dat bolle bovenop en dan die twee uitstekend staf 
A: 	met die armpjes 
A: 	ja 
A: 	dat zijn nummer zes bij mij 
A: 	even kijken ik hebben er één met dat bolle Erboven 
A: 	bij mij een beetje staan die rechts bedoelen ik juist met die staaf ervoor en die twee armp 
B: 	ja 
B: 	dat zijn bij mij J 
B: 	weer die een met die staaf ervoor zeggen maar en dat bolle aan de bovenkant en die twee staf die er nog uit steken 
A: 	even kijken 
A: 	ja 
A: 	even kijken ja die staaf ervoor en die ding en dat bolle 
B: 	ja 
A: 	nummer drie 
