B: 	dit zijn gewoon een kop 
B: 	en hij hebben een soort van hanenkam bovenop 
B: 	en zo'n hij lijken een potlood vast te vasthouden 
A: 	even kijken 
A: 	een hanenkam 
B: 	een vierkant blok staan bovenop 
A: 	ja 
A: 	en hij en hij hebben hier zo'n soort neus 
A: 	zo'n 
B: 	ja aan de zijkant zitten nog een soort van neus 
A: 	ja 
B: 	en voor hebben die 
A: 	ja zo'n hand zo hier naar boven en daar zitten dan nog een rond in 
B: 	ja nog zo'n 
B: 	ja dat zijn hem 
A: 	oké dat zijn nummer acht 
A: 	die die dat potlood vasthouden en dat blok bovenop 
B: 	ja 
B: 	dat zijn E 
B: 	ik hebben dan met dat potlood 
A: 	ja dat zijn nummer één 
A: 	die met dat penne en dat blok bovenop 
B: 	ja 
B: 	dat zijn E 
B: 	met de potlood 
A: 	ja dat zijn nummer zestien 
A: 	die met dat potlood en die die balk bovenop 
B: 	ja dat zijn O 
