B: 	deze zijn een soort van schotel slash kop aan de voorkant 
B: 	en aan de zijkant hebben je hebben je ja een beetje diamantachtig uitsteeksel 
A: 	ah die op die groot vierkant plaat staan 
B: 	ja precies 
A: 	ja 
B: 	ja 
A: 	vijfteen 
A: 	deze zijn met die cirkel aan de aan de voorkant zo recht ervoor 
A: 	die op dat groot vierkant eronder staan 
B: 	wacht zijn een soort van zo'n soort van schotel 
A: 	met met drie met van die drie blok aan de zijkant 
B: 	ja ja ja ja dat zijn dat zijn j 
A: 	ja 
B: 	deze zijn met die diamant of in ieder geval die die die drie dinget aan de zijkant 
A: 	ja ook 
B: 	en dat schotel aan de voorkant 
A: 	dat zijn vier 
A: 	deze zijn met die diaman aan de zijkant en een cirkel voor 
B: 	ja 
B: 	dat zijn m 
B: 	dit zijn met dat met die die drie dinge die uitsteken aan de die drie ja vormp die uitsteken aan de en linkerkant 
A: 	ah ja met die cirkel ervoor 
B: 	ja 
A: 	ja 
B: 	ja 
A: 	zes 
B: 	ja 
A: 	dit zijn met die cirkel de aan de voorkant en die drie vormp aan de zijkant aan de beide kant 
B: 	wachten wachten even 
B: 	wachten die drie ding 
A: 	ja 
B: 	okee 
A: 	aan de zijkant ja 
B: 	ja 
B: 	dat zijn o 
