B: 	dit zijn een een soort theekopje met twee lepelt erin 
B: 	één hebben een wat puntig en een neus hebben die en één oor 
A: 	oké ja 
A: 	en zitten er zo'n hoe heten zoiets ? een rechthoek in zo'n 
B: 	ja er zitten een een staaf of een balk in 
A: 	oké dan zijn het nummer veertien 
A: 	oké dit zijn weer dat theekopje wat jij omschrijven maar dan met twee dinget erin de één wat puntig en de ander zo'n 
B: 	ja 
B: 	balk 
A: 	balk 
B: 	en de oor en de neus 
A: 	ja 
B: 	dan zijn het N 
B: 	dit zijn weer dat theekopje 
B: 	met die eenpuntig uitsteeksel één balk 
B: 	oor en de neus 
A: 	ja 
A: 	met die twee ding erin toch 
B: 	ja 
A: 	ja 
A: 	oké dat zijn nummer negen 
A: 	dit zijn dat theekopje eigenlijk maar dan met twee dinge in dus dat puntig en die 
B: 	ja 
B: 	ja 
B: 	dat zijn dan G 
B: 	dit zijn weer dat theekopje met die twee staaf erin 
B: 	één puntig en één balk 
A: 	nummer vijf 
A: 	dit zijn dat theekopje met twee ding erin dus dat puntig en die rechthoekig 
B: 	ja 
B: 	dat zijn J 
