B: 	oké hier zitten een plaat door het kop 
A: 	ja 
A: 	oké 
B: 	dan opsteken er link nog een balk uit met een hoek 
A: 	ja 
B: 	en recht voor komen nog een balk eruit en bovenin komen twee klein balkjes eruit 
A: 	oké dat zijn zes 
A: 	dit zijn weer met zo'n zo'n plat schijf erdoorheen 
A: 	en dan twee klein balkjes erbovenuit 
A: 	en een soort glijbaan naar beneden aan de voorkant en dan nog een armp die zo omhoog opsteken 
B: 	ja dat zijn C 
B: 	deze hebben weer zo'n plaat erdoorheen met jij zeggen mooi een glijbaan 
B: 	en twee van die dinge erop 
A: 	ja ja ja 
B: 	en links nog het uitsteeksel 
A: 	dertien 
A: 	dit zijn die een met de glijbaan en en een vierkant door het kop heen 
B: 	ja en die twee schoorsteen 
A: 	ja ja ja 
B: 	ja 
B: 	dat zijn J 
B: 	dit zijn weer met dat plateau erdoor en de glijbaan en de twee uitstekend balk en link ook nog 
A: 	dat zijn negen 
A: 	dit zijn de glijbaan 
A: 	met die schoorsteen 
B: 	ja dat zijn N 
