B: 	oké 
B: 	ik vinden bij deze lijken alsof het er een soort plank aan vastzit of een soort tafel 
B: 	waar het dan aan hangen dus ik moeten denken aan een een een plantenpot die aan de muur hangen of zo 
B: 	het zijn ja het lijken echt op een tafel dat zo een beetje bovenaan zitten 
A: 	en er er zitten zo'n soort van omdraaien trapezium zitten erop 
B: 	ja 
A: 	zo'n piramide en er zitten Linksboven zitten nog zo'n soort van haak 
B: 	ja 
B: 	ja 
A: 	ja oké dat zijn zestien 
A: 	dit zijn die met dat met die plantenbak met dat tafel 
A: 	met die omgedraaide piramide erbovenop 
B: 	waar zijn die ? ja 
B: 	dus dat zijn P 
B: 	dit zijn de de plantenbak aan een tafel 
A: 	even zoeken zoeken zoeken waar zijn die 
A: 	ja 
A: 	dat zijn veertien 
A: 	dit zijn weer dat tafel dat in de lucht hangen met die bak erop 
B: 	ja 
B: 	dat zijn N 
B: 	dit zijn die met het tafel 
B: 	met de te de plantenpot aan tafel met de omgedraaide piramide op het tafel 
A: 	ja 
A: 	dat zijn tien 
A: 	dit zijn weer die tafel die opgetilgen worden 
A: 	of tenminste dat met die plantenbakachtig 
B: 	oké dat zijn D 
