A: 	oké het zijn een koffiekopje met een aan de voorkant een staaf waardoor een rond ook heen zitten en aan de zijkant zitten ook een rond van die staaf 
B: 	even kijken 
B: 	zitten een lepeltje soort van achterin 
A: 	ja 
A: 	ja linksachter 
B: 	soort staaf met een bolle erin en het eind eind uiteind een cirkel 
A: 	ja 
A: 	ja 
B: 	K 
A: 	dan mogen je drukken 
B: 	ja 
B: 	zitten een lepeltje heel klein lepeltje naar achter en het staaf zitten voor op het kop met twee bollet ééntje op het kop en een soort van cirkel aan het uiteinde 
A: 	ja 
A: 	elf 
A: 	een staaf aan de voorkant met of ja eerst een neus dan een staaf daar doorheen en aan de zijkant weer een rond 
A: 	en bovenop een heel klein lepeltje 
B: 	even kijken ja een staaf met twee bollet aan het uiteinde 
A: 	ja 
B: 	ja 
B: 	O 
B: 	voorop twee bollet , één aan de uiteinde 
A: 	ja 
B: 	en een klein lepeltje 
B: 	achterin 
A: 	zeven 
A: 	met aan de voorkant een staaf met in het midden een bolle en aan de zijkant ook een een cirkel 
B: 	ja 
B: 	A 
B: 	balk voor 
B: 	bolle erop aan de zijkant rond 
A: 	ja 
B: 	klein lepeltje 
A: 	een 
