B: 	oké dit zijn een een kop met een een lepel erin lijken wel 
B: 	en een een rond neus 
A: 	oké zitten daar nog twee ander dinge aan 
B: 	ja 
A: 	nog één zo'n dinge erachter en één die zo 
B: 	ja ja 
A: 	oké 
A: 	dat zijn nummer veertien 
A: 	die met dat ei op zijn voorkant waar jij zeggen van een lepel erin zitten 
B: 	ja 
A: 	met een 
B: 	met een driehoekig dinge 
A: 	ja precies 
B: 	ja 
B: 	N 
B: 	one's dat zijn die een met de rond neus 
A: 	ja 
B: 	en een driehoekig uitsteeksel aan de rechterkant linkerkant 
B: 	en een lepeltje 
A: 	met dat lepel erin en zo ja 
B: 	ja 
A: 	dat zijn negen 
A: 	dit zijn dat kop met dat lepel erin met dat neusding aan de voorkant 
A: 	met die driehoek zo aan de zijkant 
B: 	ja ja 
A: 	de driehoekbak 
B: 	die een beetje lijken op die zuignap maar niet zonder zuignap 
A: 	ja precies zonder zuignap ja 
B: 	ja 
B: 	G 
B: 	ja die met de zuignap maar dan niet met de zuignap 
A: 	ja met dat lepel erin 
B: 	ja 
A: 	dat zijn nummer vijf 
A: 	dat kop met lepeltje en die neus 
B: 	oké en de zuignap zonder zuignap 
A: 	ja precies 
B: 	oké dat zijn J 
