B: 	je hebben dat bak en van de linkerkant komen twee soort van pijlt erin steken 
B: 	en hij hebben aan de voorkant een een vierkantje waarmee het lijken als je hem alsof je hem tegen de muur kunnen plakken 
A: 	ja 
B: 	en van de bovenkant staan er een spijker of een paddenstoel in 
A: 	ja ja 
A: 	nummer twee 
B: 	oké 
A: 	dit zijn dat komme met zeggen maar aan de voorkant een vierkantje 
A: 	en dan aan de zijkant twee van die ja die die blok zeggen maar die zo erin steken zijn 
A: 	en dan bovenop nog de spijker of paddenstoel 
B: 	ja 
B: 	en hij lijken alsof je hem tegen de muur kunnen plakken 
A: 	ja die 
B: 	ja 
B: 	letter G 
B: 	hij lijken alsof je hem tegen de muur kunnen plakken 
B: 	hij hebben twee piercen ding en een paddenstoel 
A: 	ja 
A: 	en het dinge bovenop 
A: 	zijn nummer negen 
A: 	dit zijn die een zeggen maar die je aan de muur kunnen plakken 
A: 	met dat vierkantje en dat paddenstoel erop 
B: 	letter D 
B: 	hij kunnen aan de muur plakken worden 
B: 	en hij hebben twee boor doorboren dinget 
A: 	ja 
A: 	nummer één 
A: 	die een die je aan de muur kunnen plakken 
A: 	met het van dat vierkant en het spijkert daarop 
B: 	ja 
B: 	letter B 
