B: 	deze zijn ook door een dienblad zakken maar dan een dienblad met poot 
B: 	en die zijn er best wel ver doorheen zakken 
B: 	die zitten boven bovenaan 
A: 	lijken net of die aan een tafel zitten 
B: 	ja 
A: 	met een 
B: 	en Linksboven zitten zo'n klein staart 
B: 	en rechts zitten nog een blok 
A: 	ja dat zijn nummer tien 
A: 	deze hebben dat tafel die zo heel doorgezakt en dan met de tafel erbij en zo'n ja een een kom waar je kunnen uit eten bijvoorbeeld met zo'n klein dinge eraan 
B: 	klein linksboven heel klein kuifje 
A: 	ja heel klein 
B: 	p zijn het 
B: 	dit zijn die heel ver door de tafel zijn zakken met de tafelpo 
B: 	en links een klein uitstulpseldinge en rechts dat ding nog 
A: 	ah ja 
A: 	ja en dat dat klein 
B: 	ja 
A: 	dat zijn nummer een 
A: 	dit zijn die een die heel erg doorgezakt zijn met de tafel en een een komme 
B: 	ja ik zoeken even waar die staan 
A: 	lijken op een chinees tafel eigenlijk 
A: 	of japans 
B: 	ja d 
B: 	dit zijn die heel ver door de tafel zijn zakken met poo 
B: 	en links een klein uitstulpsel 
A: 	dat zijn nummer 
A: 	met de 
A: 	ja dat zijn nummer drie 
B: 	ja 
A: 	dit zijn met die doorgezakt zijn en soort van aan een tafel zitten 
B: 	even zoeken waar die zijn 
A: 	met komme 
A: 	en een staart achter 
B: 	ja dat zijn j 
