A: 	hier zitten twee rechthoek steken aan de rechterkant uit zo boven elkaar en aan de bovenkant een beetje zo'n trapeze-achtig 
B: 	ja 
B: 	afgekapte kegel 
B: 	ja ja ja ja ja k 
A: 	ja 
B: 	dit zijn de emmer waar een soort ISteken rechts uitsteken en dan boven die trapeze 
A: 	ja twee 
A: 	dit zijn met dat IStekentje aan de recherkant in die trapeze 
B: 	ja 
B: 	m 
B: 	dit zijn het ISteken dat uitsteken 
A: 	ja 
B: 	met dan die trapeze bovenop 
A: 	dat zijn twaalf 
A: 	dit zijn het iStekentje aan de zijkant 
B: 	a 
B: 	dit zijn het ISteken dat uitsteken aan de zijkant 
A: 	ja twee 
