A: 	even kijken zo'n beker met een soort ei wat Erboven drijven 
A: 	met twee armp aan de zijkant 
A: 	en een soort staaf aan de voorzijde 
B: 	ja 
B: 	ja iets veel aan de rechterkant toch dus 
A: 	iets veel aan de rechterkant inderdaad 
B: 	ja 
B: 	okee dat zijn f 
B: 	deze 
B: 	ja zelf hebben ik het omschrijven als een korfbal maar jij hebben hem net ook al omschrijven 
B: 	het zijn zo'n zo'n staaf 
B: 	en ja er zitten ook echt een bal 
B: 	en dan die beker 
B: 	en dan zo'n soort van twee staaf aan de beide kant erdoorheen 
B: 	maar het zitten eigenlijk staan het beker zullen ik maar zeggen doordat het aan een staaf vastzitten 
B: 	eigenlijk die houten balk maar dan verticaal 
B: 	en die zitten aan de rechterkant dus een verticaal balk aan de rechterkant 
B: 	link bovenop soort van ei 
B: 	en dan aan de rechterkant iets in de beker en aan de linkerkant 
A: 	okee dus dat aan de bovenzijde van de beker hangen er een soort ei 
B: 	ja 
A: 	en die hebben laten maar zeggen dat beker twee hand en een soort balk aan de voorzijde 
B: 	ja 
B: 	ik vinden het best wel een korfbalachtig iets zo 
A: 	ja okee 
A: 	dan zijn het nummer twaalf 
A: 	dat zijn een ei wat boven zitten 
A: 	boven het beker 
A: 	met twee armp zowel links en rechts en een soort balk aan de voorzijde 
B: 	ja 
B: 	ja dat zijn h 
B: 	ja de korfbal 
B: 	met het ei erin de balk aan de rechterkant waar die op staat 
B: 	en twee armpjes er doorheen 
A: 	even kijken welk zijn het ook alweer 
A: 	een ei boven 
B: 	ja 
A: 	en nog een soort blok wat rechtsvoor zitten 
B: 	ja waar die soort die hem omhoog 
B: 	die hem boven de grond tilen 
A: 	ja waarop die lijken vastgeplakken te zitten 
B: 	ja 
A: 	dus 
B: 	en twee armp rechts en link 
A: 	okee korfbal noemen jij die 
A: 	okee dan zijn het nummer elf 
A: 	een ei erboven met twee hand aan beide zij en met een staaf rechtsvoor 
A: 	dus beker zitten vast aan het staaf en de lucht 
B: 	ja 
B: 	dat zijn i 
B: 	de korfbal 
A: 	ja die vergeet ik telkens 
B: 	met het ei bovenop 
B: 	een soort van staafje aan de rechterkant tegen het glas 
B: 	en twee aan de linkerkant aan de rechterkant een uitsteeksel 
A: 	die ja 
A: 	nummer tien 
