A: 	oké ik hebben deze omschrijven als een soort zonnepaneel of gaspedaal die achter dat kop zitten 
A: 	en 
B: 	ja oké 
A: 	en ja ver zitten er zo'n heel lang staaf eigenlijk achter het komme 
B: 	ja 
B: 	ja 
B: 	oké ik weten welk je bedoelen 
B: 	dat zijn K 
B: 	oké 
B: 	oké ik hebben weer het gaspedaal 
A: 	ja oké 
B: 	weten je dan welk ik bedoelen 
A: 	met die lang stuk 
B: 	ja 
A: 	dat zijn negen 
A: 	ik hebben weer het gaspedaal 
B: 	ja wachten ik zoeken hem even ja daar zijn die 
B: 	dat zijn F 
B: 	ze zijn weer veranderen 
B: 	oké ik hebben het gaspedaal 
A: 	oké even zoeken hoor daar ja ja 
A: 	dat zijn nummer drie 
A: 	oké ik hebben die het gaspedaal 
B: 	oké 
B: 	ja 
B: 	dat zijn L 
B: 	oké ik hebben het gaspedaal 
A: 	ja 
A: 	ja dat zijn nummer vijf 
