B: 	okee 
B: 	link onderaan zitten een soort het zijn een soort van een een een pyramide alleen daarboven zijn net net het het kop afgescheurd 
B: 	en zijn één het worden steeds van klein naar groot groot naar klein gaan het naar boven 
B: 	de Linkeronderkant 
B: 	bovenop zitten eigenlijk een een langwerpig rechthoekig doos gewoon plat liggen hij erop dus niet omhoog maar gewoon plat 
A: 	ja en rechts zitten een rechts zitten ding met dat naar boven wijzen 
B: 	en aan de 
B: 	ja zo'n soort van ministaafje dat ja 
A: 	ja 
A: 	zestien 
A: 	deze hebben die liggen balk bovenop 
A: 	en de half pyramide aan de linkerkant en dan dat een klein scherp ding aan de rechterkant 
B: 	liggen balk bovenop 
A: 	waar we het net over hebben aan het einde 
B: 	ja ja o 
A: 	wel duidelijk 
B: 	hier hebben je aan rechthoekig plattig plat doos of een langwerpig plat doos bovenop 
B: 	zo'n soort van 
B: 	en dan heel klein ministaafje of nou heel dun staaf aan de rechterkant 
B: 	die op een waar staan het op 
B: 	weten niet waar het op staat 
B: 	ja en die linker half die pyramide die voor kunnen het top worden afgeschoven aan de linkerkant 
A: 	aan de linkerkant 
B: 	en dan bovenop zo'n langwerpig 
A: 	dat scherp ding aan de rechterkant 
B: 	ja een scherp ding 
A: 	ja 
A: 	zijn nummer een 
A: 	ik hebben de een met dat scherp ding aan de rechterkant 
A: 	met die half pyramide en dat balk bovenop 
B: 	die half ja ja 
A: 	dat gek scherp ding aan de rechterkant 
B: 	ik zoeken hem 
B: 	waar zijn die half pyramide 
B: 	ja 
B: 	wachten scherp ding ? niet die twee 
B: 	wachten ik hebben hem verkeerd om 
B: 	kunnen je hem nog een keer zeggen scherp ding aan de rechterkant 
A: 	met zeggen maar aan de linkerkant dat die half ronde pyramide met daar de bovenkant eraf 
B: 	ja aan de ja sorry 
A: 	en dan dus scherp 
B: 	ja dan weten ik welk je bedoelen moeten hem even vinden nog 
B: 	ja ik zien hem 
B: 	h 
B: 	die dat scherp ding aan de rechterkant en dan die half pyramide hoofd eraf aan de linkerkant 
A: 	ja de 
A: 	zeven 
A: 	ik hebben dat scherp ding aan de rechterkant en die half pyramide link 
B: 	ja 
B: 	ik weten denken ik welk je bedoelen 
B: 	waar zitten hij dan 
B: 	ah Ja j 
