B: 	een 
B: 	het staan op een plateau en er zijn zo zo'n draaien ding doorheen 
A: 	zo'n soort spiraalachtig iets 
B: 	ja 
A: 	okee dat zijn nummer negen 
A: 	ja dit zijn het beker met het spiraal aan de achterkant 
A: 	die op een plateau zitten 
A: 	op een soort vierkant bord 
A: 	en zo'n soort ronddraaistaafje wat aan de achterkant zitten 
A: 	met een soort cirkel aan de voorzijde 
B: 	ja 
A: 	die op zo'n soort vierkant tree of niet tree maar soort 
B: 	ja 
B: 	ja en dat dinge erdoorheen een schroef eigenlijk 
A: 	ja dat 
A: 	ja 
B: 	ja 
B: 	dat zijn b 
B: 	dit zijn die spiraal schroef erdoorheen 
A: 	ja dat zijn nummer acht 
A: 	het spiraal achter het beker 
A: 	of door het beker heen 
B: 	ja 
B: 	dat zijn g 
B: 	de spiraal erdoorheen 
A: 	ja 
A: 	nummer dertien 
A: 	spiraal achter het beker 
B: 	ah ja n 
