B: 	oké ik hebben een rood vierkant 
A: 	yes 
B: 	ik hebben een poppe waarvan het lijken alsof die ophangen zijn ik weten niet of je dan weten wat ik bedoelen 
A: 	ophangen 
B: 	ja nee dat weten je niet doel 
A: 	nee hoe ? omschrijfen de vorm maar 
B: 	het zijn het zijn een kop met een soort staan ding met één dinge hier een rond dinge aan de voorkant net iets boven 
B: 	het ding van het kop en aan de ander kant eigenlijk schuin aan de voorkant een soort ja lepeltje zullen het dan wel zijn 
A: 	kunnen je nog een keert ? oké jij zeggen dat die ergens aan de onderkant iets hebben zitten 
B: 	ja hij een soort ja een soort standaard hij staan ergens op dat zijn inderdaad wat handig 
A: 	lijken het een trofee 
A: 	of zijn het een vierkant waar die op staat 
B: 	ja het zijn een beetje ovaalvormig zoiets ik weten niet zo goed hoe je zoiets uitleggen maar zoiets staan die op 
A: 	oké ja 
A: 	en het hebben een soort van vierkant een soort van neus erbovenop hebben het een puntmuts op 
B: 	nee nee nee nee nee nee het zijn het het komen een klein rond bovenuit 
A: 	oké 
B: 	en aan de ander kant komen er dan een soort ja lepeltje ik vinden het allemaal kop maar komen een soort lepelt dinge bovenuit 
A: 	oké en zitten er aan de links kant zitten er een soort van ding en aan de onderkant zitten er inderdaad een soort van rechtopding en inderdaad een lepeltje ja zijn 
B: 	ja 
B: 	arm 
B: 	ja 
B: 	ja 
A: 	ik denken dat ik weten welk je bedoelen 
B: 	oké top 
A: 	dat zijn dertien 
A: 	oké dit zijn die een wat jij waar we in het begin even wat moeite mee hebben dat er een lepeltje in staan maar dat er een soort van koekje in hing of zo 
A: 	of net als bij een cocktail dat je weleens zo'n citroen hebben die over het glas over die rand van het glas zo erin zitten 
A: 	met aan de zijkant dat stok 
B: 	waarvan ik denken dat het ophangen zijn 
A: 	met die raar 
A: 	ja nee met die raar soort van standaard volgens mij zijn het de allereer die we hebben 
A: 	met een soort van ovaal standaard waar die op staat 
B: 	ja 
B: 	ja dat zijn inderdaad poppe waarvan ik denken dat die zijn ophangen met zo'n aan de ander kant van het van het lepel nog zo'n ja 
A: 	ja ja ja die komen eruit dat zijn een soort van Pinokkioneus 
B: 	ja 
A: 	en in ja aan de linkerkant maar wel wat veel in het midden zeggen maar zitten een soort dat dat dat dat rond zeggen maar 
B: 	rond 
B: 	ja oké nee hebbes 
B: 	dat zijn O 
B: 	dit zijn de die een met dat rond en dat dat lepel 
B: 	ik ik weten nooit hoe jij hem noemen maar ik willen hem ophangen 
A: 	ja die Pinokkio 
B: 	met dat hij staan ergens op 
A: 	met die Pinokkio Pinokkioneus 
B: 	ja die 
A: 	ja waar die ergens op staat inderdaad 
B: 	ja 
B: 	ja 
A: 	ja dat zijn bij mij acht 
A: 	dit zijn de Pinokkioneus 
A: 	met die lepel die in zijn hoofd staan zeggen maar 
A: 	met dat koekje wat over het glas heen hing 
B: 	ja 
B: 	C 
B: 	dit zijn do ik vergeet de heel tijd hoe je deze noemen 
A: 	de gieter 
B: 	nee 
A: 	of de pomp met het ei erop zeggen maar 
B: 	nee die met dat lepel eruit en dat rond en die een staaf 
B: 	en dat waar die op die staan ergens op 
A: 	ja met die drie kraal zeggen maar 
B: 	nee nee nee die met dat half rond op zijn komen erbovenuit en aan de ander kant zitten dan een lepeltje 
A: 	de Pinokkio 
B: 	ja die 
A: 	de Pinokkio ja nummer zeven 
A: 	de de Pinokkio bij mij met die lepel die erin staan en dat koekje wat over het glas heen afhangen 
B: 	ja 
B: 	C 
B: 	oké 
A: 	nou volgen deel 
A: 	hallo 
B: 	hallo 
