A: 	oké dit zijn alsof het een beetje een serveerster zijn die zoiets vastheeflen 
A: 	alleen dan voor jou zo denken ik 
A: 	en dan in de rechterarm zitten een soort spijker of zo of ze hebben een fakkel vast zoiets 
B: 	ja 
B: 	ja een soort cilindertje 
A: 	ja maar het zijn wel een cilinder die steeds klein worden naar beneden zeggen maar 
A: 	zo'n soort spijker vinden ik 
B: 	ja yes ja 
A: 	en die arm zijn ook ja een beetje zo'n hol 
B: 	zo'n naar binnen of naar binnen gevouwen 
A: 	ja 
A: 	ja ja ja 
B: 	dan zijn het 
A: 	een soort C zeggen maar 
B: 	ja 
A: 	ja 
B: 	L 
B: 	dit zijn die met aan de linkerkant dat soort omgevouwen met de Eiffeltoren er zo omgekeerd in zetten 
B: 	en aan de rechterkant een soort van plateautje 
B: 	een rond plateau 
A: 	ja 
B: 	en aan de linkerkant een soort van Cvorm omgevouwen 
A: 	ja ja ja ja ja ja ja 
A: 	even kijken 
A: 	met die met die spijker erin die Eiffeltoren inderdaad ja 
B: 	ja 
B: 	ja 
A: 	zeven 
A: 	oeh dat zijn die Eiffeltoren en die arm en dat plateau 
A: 	die ze vastheeffen 
B: 	ja ja met het omgevouwen stuk 
A: 	zo 
A: 	ja 
B: 	dat zijn C 
B: 	dit zijn de Eiffeltoren 
A: 	ja 
A: 	even kijken 
A: 	één 
A: 	de Eiffeltoren 
A: 	de serveerster 
B: 	dat zijn A 
A: 	ja 
B: 	dit zijn Eiffeltoren in de omgevouwen C 
A: 	ja dertien 
