B: 	nou zijn ik weer lol ok dit zijn zeggen maar het staan op een vierkantje staan dat bolle en 
B: 	ja er staan ook zeg maar op dat ja dat dat zeggen maar standaard bolletje zijn nog een rond voorop en achter zijn een soort van slinger 
A: 	ja 
A: 	ja ik weten wel welk je bedoelen dan vijf voor mij 
B: 	ja 
B: 	ok bij mij A dan en ja ja 
A: 	ok o dan moeten ik ja 
A: 	ok dit zijn die een met dat plateau en die feestslinger 
B: 	o ja dat zijn J bij mij 
A: 	bij mij tien 
B: 	ok 
B: 	nou wel klikken 
A: 	ja 
B: 	op dit zijn de pan met op het plateau met de slinger 
A: 	ja zijn elf bij mij 
B: 	ok bij mij D 
A: 	dit zijn die dat plateau met die slinger 
B: 	o die P 
A: 	zestien 
A: 	o jij moeten klikken 
B: 	o dit zijn weten het tafel met slinger zeggen maar 
A: 	o ja negen bij mij 
B: 	ok bij mij K 
B: 	okan top 
A: 	dit zijn dat plateau met die slinger 
B: 	o daar L 
A: 	ja elf bij mij 
B: 	ok 
