B: 	we kijken naar een plaat met bovenop zeggen maar het centraal figuur zeggen maar dat ding zitten een half half schijf 
B: 	en er zitten ook nog een soort ja uiteinde van een lepel op 
A: 	uiteinde van een lepel 
B: 	ook hebben dit plaat zeggen maar aan de linkerkant nog één ja een soort staaf aan de zijkant 
A: 	of the microphonesmack one's zijn hebben die zo'n soort dienblad of zo'n soort horizontaal schijf eraan zitten 
B: 	nee hij hebben geen horizontaal schijf eraan zitten 
A: 	daarbovenop zitten 
B: 	de helft van één van een cirkel van een muntje 
B: 	echt heel plat 
B: 	en daar rechts naast nog een een soort staaf 
A: 	ja 
A: 	ja ja ja ja ik 
B: 	wat een ja wat me aan een lepel doen denken 
A: 	nummer dertien denken ik 
A: 	nu hebben ik een soort Pinokkio hij hebben een lang cilinder link 
A: 	een rond erachter en zo'n lepel erbovenop ook nog 
A: 	en daaronder zitten een soort breed nek 
B: 	ja die waar we mee beginnen zijn 
A: 	ja zijn we mee beginnen 
B: 	ja 
B: 	O 
B: 	ik hebben ze zijn weer wisselen 
A: 	ja 
B: 	waar we de allereer keer mee beginnen dus met die half cirkel 
B: 	erop 
B: 	die schijf 
B: 	dan de zo'n staaf daarlangs 
B: 	aan de linkerkant een soort uitstekend buisje en hij staan op een soort nek 
B: 	volgens mij noemen jij hem net Pinokkio 
A: 	ja ja ja 
A: 	ja dat zijn nummer acht 
A: 	ik hebben die met die één die we deden een soort van Pinokkio 
B: 	ja ja dat zijn bij mij C 
B: 	ik hebben die allereer Pinokkio 
A: 	nummer zeven 
A: 	ik hebben Pinokkio 
B: 	dat zijn met dit half rond erop toch ? met die 
A: 	ja een half rond erop ja 
B: 	C 
B: 	yes 
A: 	we did it 
