A: 	zo 
A: 	oké dan mogen ik gaan omschrijven 
A: 	nou het zijn wel mooi dat we allebei in koffie en theebeker denken 
A: 	er zijn een een lepel dat mooit schuin hangen 
A: 	en aan de zijkant zitten een bol 
A: 	en door die bol heen zitten een staaf met een soort zuignap aan de rechterkant 
B: 	dan 
B: 	nee ja 
B: 	een soort spijker in de 
B: 	hebben ik het idee maar ik weten welk je bedoelen in ieder geval 
A: 	oké 
B: 	dat zijn letter F 
B: 	koffiekopje met iets door het ei heen klein lepel erbovenuit 
B: 	het zijn een soort spijk of zoals jij het noemen een zuignap 
A: 	ja 
A: 	ja dat zijn duidelijk dat zijn nummer vijf 
A: 	ei aan de voorkant met spijker dan wel zuignap 
B: 	ja 
B: 	en een dinge 
A: 	een lepeltje 
B: 	ja 
B: 	dat zijn letter A 
B: 	de ei met het spijker erdoorheen 
A: 	lepeltje Bovenkant 
B: 	ja 
A: 	nummer vijf 
A: 	ei aan de voorkant met spijker en zuignap erdoorheen 
B: 	ja 
A: 	lepel aan de bovenkant 
B: 	dat zijn letter H 
B: 	de spijker door het ei 
B: 	zuignap 
A: 	even kijken check 
B: 	ja 
A: 	dat zijn nummer vijftien 
