B: 	ik hebben het rood 
A: 	oké 
B: 	ik vinden het wel een beetje lijken op een cocktail 
B: 	met een schijf citroen misschien een ja 
B: 	en dan zitten er een soort lepeltje boven 
B: 	en er zitten eigenlijk aan de zijkant dan een 
A: 	een handvat 
B: 	een handvat 
A: 	met een klein bekert zeggen maar eronder 
B: 	ja 
A: 	heel klein 
A: 	oké dertien 
A: 	ik weten eerlijk zeggen niet veel wat we deze hebben hebben 
A: 	maar er zitten een een rond schaal achter 
A: 	aan de zijkant steken een een een pilaar of iets uit 
A: 	en boven opsteken een soort van pollepelachtig iets uit 
B: 	ja 
B: 	dat zijn O 
B: 	dit zijn weer die soort cocktail zeggen maar 
B: 	met dat kanne eronder 
A: 	ik zitten te kijken waar die staan 
B: 	op dat 
B: 	volgens mij zijn het weer een nieuw ronde trouwens 
A: 	ik denken het ook 
A: 	even kijken welk cocktail 
B: 	nou ja dus zeggen maar dan hebben je zo zitten stijgen er zo'n soort lepel uit en dan aan de zijkant zijn er aan de een kant zo'n ding 
B: 	ja zo'n soort balk en dan dan zijn er zo'n rond ja ananasschijf citroenschijfje of zo 
A: 	daarboven hebben je nog iets wat uitsteken 
A: 	en aan de zijkant steken ook iets zo uit 
B: 	ja 
B: 	ja 
A: 	ja kloppen en daarachter hebben je ja dat zijn denken ik uiteindelijk een cirkel of iets wat ja kloppen 
B: 	ja 
A: 	acht 
A: 	volgens mij omschrijven je deze als cocktail 
B: 	cocktail waar zijn je 
A: 	met die citroenschijfje en 
B: 	ja 
B: 	ah C 
B: 	van cocktail 
A: 	ja 
B: 	de cocktail 
A: 	de cocktail waar zijn je ? hier 
A: 	zeven 
A: 	denken ik dat 
A: 	cocktail 
B: 	de cocktail C 
A: 	ho 
A: 	yes 
B: 	ja 
