B: 	deze hebben bovenop een soort staaf vierkant liggen recht erop 
B: 	in het midden 
B: 	rechts hebben hij een het zitten allemaal heel dicht erop het zijn heel compact 
B: 	en rechts hebben hij een soort arm die uitsteken en dan rechtsboven het gaan er gaan ook nog een ding omhoog uit zijn arm 
A: 	zo'n opsteken zo'n ding uit 
B: 	staaf een dun staaf 
B: 	en link zitten 
A: 	alsof hij iets vasthouden zoiets laten we het zo maar zeggen 
B: 	ja 
B: 	en linksonder zitten zo'n afgekapt dakje zo 
A: 	lijken op een mouw misschien 
B: 	ja 
A: 	alsof er lijken het op een mouw misschien een beetje 
B: 	ja ja ja er kunnen een arm uitkomenzeg maar 
A: 	zo zo 
B: 	ja 
A: 	okee dat zijn denken ik nummer vijfteen bij mij 
A: 	deze zijn ook heel compact zoals je laat zeggen 
A: 	het lijken net of hij zoiets vasthouden zo dat klein staaf 
B: 	ja en dat blok op zijn hoofd 
A: 	ja en dan hier hebben hij zo'n raar armp en een blok op zijn hoofd 
B: 	ja 
B: 	ja dat zijn m 
B: 	zijn die compact met dat staaf op zijn hoofd en iets in zijn hand 
A: 	ja en dat raar armp hier 
B: 	ja 
A: 	zo 
B: 	ja 
A: 	dat zijn nummer drie 
A: 	deze zijn die compact met dat raar armp zo 
B: 	ja p 
A: 	alsof die iets vasthouden 
B: 	dit zijn de compact met de staaf op zijn hoofd en de mouw en dat ding wat hij vast hebben 
A: 	en zo'n armp 
A: 	waar staan hij 
A: 	daar nummer negen 
A: 	dit zijn die heel compact die zo iets vasthouden 
B: 	ja even zoeken waar die zijn 
B: 	n 
