B: 	ok dit zijn zeggen maar dat 
B: 	ja blauw dinge met ja mij doen het een beetje denken aan pinoccio zeggen maar zo'n neus recht naar voren en één zo'n pluimp zeggen maar op het hoofd 
A: 	hebben hij aan de achterkant ook zo'n zo'n cirkel 
B: 	ja ja ja 
A: 	okan ja dan zijn het dertien 
B: 	okan ja bij mij zijn het G ik weten niet of ik dat nog moeten zeggen maar ja 
A: 	ok nu moeten ik op geel klikken toch 
B: 	ja volgens mij wel ja 
A: 	duidelijk 
B: 	ja 
A: 	ja deze doen me een beetje denken aan een aan een een cocktailglas of zo omdat je hebben gewoon 
A: 	ja beetje die glasvorm en dan hebben je een schijf aan de achterkant die citroen soort citroen en dan een dinge er ook in 
B: 	o die o die mij dan doen denken aan die pinoccio een beetje 
A: 	ja ja die pinoccio ja precies 
B: 	ja ja ja dat zijn bij mij O 
A: 	bij mij vier 
B: 	ok 
B: 	nee 
B: 	dit zijn bij jou lijken het een beetje op een cocktail met citroen en bij mij zijn het beetje pinoccio 
A: 	o 
A: 	pinoccio 
B: 	ja 
A: 	ja zijn acht 
B: 	ok bij mij N 
A: 	ok 
A: 	dit zijn pinoccio cocktail 
B: 	o die C 
A: 	ja zijn veertien bij mij 
B: 	dit zijn de cocktail en pinoccio 
A: 	zijn zeven bij mij 
B: 	ok bij mij N 
A: 	dit zijn pinoccio cocktail 
B: 	even kijken waar die zijn o hier C 
A: 	ja bij mij zeven 
B: 	o bedanken voor de deelname nu komen het volgen keer 
