A: 	oké nu hebben ik een rood vierkant 
A: 	er zitten een soort bol op de voorkant 
A: 	en daar zitten een uitsteeksel doorheen 
B: 	ja 
B: 	ja 
A: 	met een met zo'n rond 
B: 	met een plat stuk eraan 
A: 	ja ja 
B: 	ja dan weten ik welk het zijn en er zitten nog één fliepje 
A: 	en één dinge bovenop 
A: 	ja 
B: 	ja 
B: 	oké dan zijn het F 
B: 	oké dit zijn degeen met de bal aan de voorkant waar dat ding doorheen zitten en dan aan de achterkant nog zo dat 
A: 	ja 
A: 	ja dan zijn het vijf 
A: 	ik hebben die met die dat fliepje bovenop en zo'n bol aan de voorkant waar iets doorheen opsteken 
B: 	ja dat zijn A 
B: 	ik hebben diegene met een bol aan de voorkant waar een ding doorheen zitten en één fliebel 
A: 	ja 
A: 	ja dat zijn vijf 
A: 	ik hebben die met die uitstekend bol en met dat ding erdoorheen 
B: 	ja 
A: 	en met dat fliebel bovenop 
B: 	ja even zoeken ja ja dat zijn H 
B: 	ik hebben die boor met die balk erdoorheen met zo'n fliebel in die pot 
A: 	ja dat zijn vijftien 
