A: 	ik hebben er nu één met een soort punt Erboven 
A: 	zo'n soort driehoekig punt en aan de voorkant ja niet helemaal een blok maar lijken wel een beetje op een blok aan de Rechtervoorkant 
B: 	ja 
A: 	of ja 
B: 	dan links hebben je dan nog een 
A: 	zo'n vaag uitsteeksel 
B: 	ja en dan onderin nog een rond zeggen maar 
A: 	ja 
B: 	ja dat zijn bij mij dan J 
B: 	ik hebben nu die een met die ja piramide zeggen maar aan de bovenkant en dan ja ook weer een kubus die aan de voorkant uitsteken en 
B: 	ja ook weer zo zeggen maar een naaldding aan de 
A: 	dat dat soort driehoekig ding Erboven en dan zo'n kubus ervoor en dan zo'n uitsteeksel hier en zo'n rond 
B: 	ja 
B: 	en nog zo'n rond aan de 
A: 	ja dat zijn bij mij nummer zes 
A: 	ik hebben nu die met die driehoek erboven zeggen maar en dat raar blok en dat ervoor en dat rond eronder 
B: 	oké 
B: 	ja 
B: 	dat zijn bij mij E 
B: 	nou hebben we weer die een met die met die driehoek bovenop zeggen maar en dat rond dan aan de onderkant en die kubus die uitsteken 
A: 	ja 
A: 	nummer tien 
A: 	ik hebben die een bij mij staan die helemaal of Linksboven bedoelen ik 
A: 	met dat driehoekig ding 
A: 	erboven zo'n rond aan kant en zo'n blok ervoor 
B: 	ja 
B: 	bij mij zijn dat G 
B: 	weer met die ja driehoek erboven zeggen maar en dan die kubus die uitsteken en dat rond zeggen maar links onderin 
A: 	die driehoek 
B: 	met die driehoek aan de bovenkant 
A: 	ja 
A: 	nummer tien 
