B: 	even kijken 
B: 	deze lijken op een één kelk eigenlijk 
B: 	een een heel erg one experimenteel kelk die niet zullen blijven staan in het echt maar hij hij rust op een 
B: 	wat zijn dat ? een driehoek en dan zo'n soort kronkelsteel zitten eraan 
A: 	ja 
B: 	met dan raar garnitur voor de cocktail of zo 
A: 	jij zien er zoveel ander ding in dan ik 
A: 	ik zien hier een pirouette in namelijk maar 
B: 	oké 
A: 	dat zijn vier 
A: 	dit zijn die die jij op een kelk vinden lijken 
A: 	die met die draaien 
B: 	ja de de cocktail eigenlijk 
A: 	ja de cocktail 
B: 	dat zijn dus A 
B: 	dit zijn weer het cocktailglas 
A: 	zoeken zoeken zoeken 
A: 	ja dat zijn tien 
A: 	dit zijn weer die cocktailglas 
B: 	dat zijn L 
B: 	dit zijn het cocktailglas 
A: 	zoeken zoeken zoeken 
A: 	ja dat zijn vier 
A: 	dit zijn weer die cocktailglas 
B: 	waar zijn die ? F zijn dat 
