A: 	dit zijn weer de bak , ja alles zijn een bak bovenop zitten een een soort zoiets-vormig 
A: 	ja 
B: 	oké 
A: 	en die zitten ook aan de linkerkant 
A: 	aan aan de rechterkant zitten een soort van toren als je van andersom kijken kwartslag 
A: 	en die zijn in de rechterkant en bovenop zitten dan twee van zo'n zo'n balk 
B: 	zulk balk 
B: 	oké 
B: 	dus links en bovenop zitten zo'n 
A: 	link 
A: 	ja 
A: 	en aan de rechterkant zitten een toren die liggen eigenlijk 
B: 	ja een toren 
A: 	ja 
B: 	oké dan zijn het I 
B: 	I 
B: 	dit zijn volgens mij wat jij noemen een propeller met een toren 
A: 	dat gaan heel makkelijk als we het zo gaan doen 
B: 	ja 
B: 	volgens mij een propeller met links en boven hem zien je de propeller 
A: 	ja 
A: 	dat zijn nummer zeven 
A: 	zijn een heel druk , bovenop bovenop en links zijn een uh , zoiets , achtig 
B: 	ja 
A: 	en link zitten nog een een pijp en rechterkant nog een toren als je negentig graad draaien 
B: 	ja 
B: 	propeller D 
B: 	denken ik 
B: 	propellerkop 
B: 	boven en link de propeller , rechts de toren 
B: 	en nog een uitsteeksel 
B: 	tussen de twee propellert in 
A: 	propellerkop 
B: 	ja dat zijn een kop met ja oké jij zeggen het zo 
B: 	zo er bovenop 
A: 	ja ja ja 
B: 	en zo aan de zijkant 
A: 	oké dat zijn 
B: 	en rechts vierkant 
A: 	rechts een één 
A: 	en link zitten er twee 
B: 	ja maar ze hebben wel een ander vorm 
A: 	ja ja ja 
A: 	nummer twaalf 
A: 	ja dat zijn , jij noemen het de propeller 
A: 	link zitten er twee , bovenop één , rechts de pilaar 
B: 	dat zijn B 
B: 	de propeller links en boven 
B: 	en rechts de toren 
A: 	ja 
A: 	nummer twee 
