B: 	oké dit zijn een beetje een soort wijnglas hij hebben een poo dat driehoekig zijn en er komen een 
B: 	twisen een soort kaasstengel uit en dan hebben je daar een kop bovenop en boven op het kop staan ook nog een kubus 
B: 	en aan de linkerkant een soort zwaard 
A: 	armp 
B: 	armp 
A: 	ja 
A: 	dat zijn nummer vier 
A: 	dit zijn weer dat ja een soort wijnglas met de draaien poo 
B: 	ja 
B: 	A 
B: 	dit zijn het wijnglas 
B: 	met de kubus 
B: 	bovenop 
A: 	ja 
A: 	nummer tien 
A: 	oké dit zijn het wijnglas met het draaien poo 
B: 	L 
B: 	het wijnglas 
A: 	nummer vier 
A: 	dit zijn het wijnglas 
B: 	F 
