A: 	ja dit zijn eigenlijk poeh zijn ook een er komen een staaf in het midden er uit en aan er priken er eigenlijk een heel groot spijker in 
B: 	ja ja en dan zitten er nog een soort plateau bij of zo ja dat zijn dan L 
A: 	en ja 
A: 	zo'n plateau er langs ja ja 
B: 	ja dit zijn eigenlijk diegene waarbij die spijker in dat uitsteeksel gaan met dat plateau erbij 
A: 	ja even kijken 
B: 	je hebben zo'n ding en dat lijken zijn zeggen maar een een soort pacman of zo en daar gaan die spijker in 
A: 	o ja met met 
A: 	met die piramide 
B: 	ja 
A: 	er op ja dat zijn dan nummer zes 
A: 	ja dit zijn weer die raar met die plateau aan de zijkant en wat iets uitsteken wat door een heel groot spijker worden doorboren zullen maar zeggen 
B: 	ja dat zijn dan die omgekeeren Eiffeltoren dat zijn dan C 
B: 	ja dit zijn weer die pacman met die spijker en dat plateau ernaast 
A: 	ja 
A: 	even kijken waar 
B: 	die omgekeerde Eiffeltoren 
A: 	even zoeken even zoeken 
B: 	ja 
A: 	even kijken 
B: 	ja hij hebben die die die omgekeerde die spijker of die spijker of zo die er die er in worden slaan die piramide Eiffeltoren plateau ja die 
A: 	o die ja ah ik hebben hem vinden ja ja ja ja met die o daar zijn hij ja ja dat worden dan nummer één 
A: 	ja dit zijn met die omgedraaide Eiffeltoren en met die plateau aan de zijkant 
B: 	ja ja dat zijn A 
B: 	ja ik hebben nu die met die spijker die in die pacman of zo gaan en dan dat plateau er nog naast 
A: 	ja dat zijn dan nummer dertien 
