A: 	ja dit zijn met zo ja ik vinden dat op een spijker lijken 
A: 	die zo random in zo'n houtje zijn slaan aan de zijkant 
A: 	en dan hebben die nog zo'n rond hier liggen 
B: 	ja ja 
B: 	ik weten welk het zijn 
A: 	ja 
B: 	ik vinden het een beetje op een vangrail lijken lijken waar die 
A: 	ja 
B: 	ja 
B: 	dat zijn L bij mij 
B: 	oké dit zijn die met die vangrail en die spijker erin 
A: 	ja 
A: 	ja nummer zeven 
A: 	dit zijn die met die spijker 
A: 	en dat rond daarvoor 
B: 	ja C 
B: 	die vangrail met die spijker 
A: 	welk ? die 
B: 	die vangrail met die spijker erin en dan rechts dat dienblad volgens mij 
A: 	ja 
A: 	nummer één 
A: 	dit zijn die met die rail en die spijker erin 
B: 	ja A 
B: 	de vangrail met de spijker en het dienblad 
A: 	ja waar zijn die 
A: 	ja nummer dertien 
