B: 	oké 
B: 	ik hebben de rood dinge 
B: 	one ja 
B: 	er zijn Linksboven nog een stuk van een half cirkel over 
B: 	weten je dan welk ik bedoelen 
A: 	hebben die aan de linkerkant ook een soort staaf ound 
B: 	ja kloppen 
A: 	en rechtsboven een een fliepje om het maar even zo te noemen 
B: 	ja 
B: 	ja kloppen 
A: 	ja dan weten ik welk je bedoelen 
A: 	nou moeten ik het nummer zeggen toch 
B: 	ja 
A: 	dat zijn dertien 
A: 	deze hebben een soort voetstuk waar die op staat er zitten een uitsteeksel aan de onderkant 
A: 	en een half cirkel die je zo aan de achterkant zien 
A: 	en dan nog één zo'n dinge bovenin 
B: 	en nog een dinget link 
A: 	en nog een dinget link ja 
B: 	oké dat zijn bij mij O 
B: 	one ja deze hebben weer zo'n half cirkel cirkel wat je nog zien en het staan op een soort voetstuk en link zo'n uitsteeksel en 
A: 	en boven ook zo'n uitsteeksel 
B: 	ja 
A: 	oké dat zijn bij mij acht 
A: 	dit zijn weer die met dat dinge aan de onderkant 
A: 	en dan die half schijf aan de achterkant die je kunnen zien 
B: 	even zoeken hoor 
B: 	ja dat zijn bij mij C 
B: 	die met dat plateau eronder en die half cirkel 
A: 	met het plateau 
B: 	of ja dat voetstuk 
A: 	wachten 
A: 	voetstuk 
B: 	zeggen maar die half cirkel 
A: 	ja ja 
A: 	dat dinge eronder en dat ding ja oké 
B: 	ja 
A: 	dat zijn zeven 
A: 	dit zijn die met het stuk aan de onderkant en dan de half cirkel aan de achterkant 
B: 	ja dat zijn C 
A: 	hallo 
