B: 	deze hebben drie uitsteeksel en aan de voorkant een bol 
B: 	de links zijn een driehoek en de bovenste een vierkant en de ander een beetje een gek vorm 
A: 	ja 
A: 	ja ook een beetje een soort van langgerekte ruit met een tuu eronder of zo 
B: 	ja 
A: 	ja 
B: 	die ja 
A: 	oké dat zijn nummer veertien 
A: 	deze hebben die bol aan de voorkant en dan die rechthoek bovenop 
A: 	met nog die raar vorm daar links van en aan de linkerkant steken dat driehoek uit dat langwerpig driehoek zeggen maar 
B: 	ja 
B: 	dat zijn bij mij N 
B: 	deze hebben drie uitsteeksel 
B: 	en een bolle aan de voorkant een vierkantje bovenop en links driehoek en het ruitje met een bobbel eraan 
A: 	ja 
A: 	dat zijn nummer negen 
A: 	ik hebben nu die een met die bol aan de voorkant en dan links dat uitstekend langwerpig driehoekding en dan dat driehoektuu 
B: 	ja 
A: 	en dan weer die plat rechthoek 
B: 	ja 
B: 	dat zijn bij mij G 
B: 	dit zijn met dat driehoek aan de linkerkant en nog twee ding bovenop en de bol aan de rechterkant 
B: 	er zitten een plat rechthoek bovenop en het ruitje met iets eraan aan de bovenkant 
A: 	even zoeken hoor 
A: 	bedoelen je weer met die uitdijen kubus aan de ruit 
B: 	nee 
B: 	aan de linkerkant zijn een uitstekend driehoek 
B: 	die zo ja 
B: 	en aan de rechterkant een bol 
A: 	ja ja met die gewoon dat dat uitstekend klein driehoek en dan dat pluimp en die plat rechthoek zeggen maar 
B: 	ja 
A: 	ja 
A: 	nummer vijf 
A: 	dit zijn die een met dat uitstekend driehoek aan de linkerkant bovenop dat pluimp en die rechthoek en dan die bol ervoor 
B: 	ja 
B: 	dat zijn bij mij J 
