B: 	ik hebben dus ja je hebben dus telkens dat hoofdplateauen 
B: 	platform 
B: 	aan de zijkant het wacht laten ik zo beginnen het zitten door een vierkant plateau heen 
B: 	dat vierkant zijn ja dun 
B: 	en dat zitten er laten maar zeggen doorheen 
B: 	en dat vierkant zitten niet op in het midden van het hoofdplateau -form maar een beetje aan de onderkant 
B: 	want daarboven opsteken aan de linkerkant een rechthoek met een punt daar bovenop uit 
B: 	en aan de voorkant steken ook weer zo'n cirkelvorm uit en daar bovenop op het hoofdplateau twee klein staafjes 
A: 	ja twee okee dan weten ik het 
A: 	dat zijn nummer zeven 
B: 	okee 
A: 	hier hebben de hoofdvorm twee van die klein uitsteeksel bovenop 
A: 	hij hebben een plateau waar die in vastzit beetje onder het midden 
B: 	ja 
A: 	okee 
B: 	dit zijn de hoofdvorm waarbij waarbij het vierkant plateau onderaan zitten maar de hoofdvorm zitten er wel in 
B: 	waarbij twee klein staafjes bovenuit steken 
A: 	ja 
A: 	nummer acht 
B: 	okee 
A: 	deze hebben deze hoofdvorm hebben twee van die uitsteeksel bovenaan hebben een vierkant plateau om zich en een schuin buis lopen voor de hoofdvorm uit 
B: 	link 
B: 	ja 
A: 	ja links hebben hij ook nog één met een hoek erin 
B: 	p 
B: 	dit zijn de hoofdvorm waarbij het vierkant plateau onderaan door de hoofdvorm heen zitten of de hoofdvorm zitten door het vierkant plateau heen met twee klein staafjes erbovenop 
A: 	ja 
A: 	ja nummer tien 
A: 	deze hoofdvorm hebben die zijn inbouwen in dat in een vierkant plateau hebben twee uitsteekselt bovenop 
A: 	en links hebben hij nog één ja een 
B: 	ja 
B: 	n 
