B: 	ja deze noemen ik driehoekneus met oorbel 
B: 	en hanenkam 
B: 	ja 
B: 	oké 
A: 	je je kunnen ook kort naam bedenken 
B: 	ja 
B: 	hij hij hebben een een driehoekig neus met een staaf daarbovenuit en hij hebben van die en symmetrisch zijn die en hij hebben oorbelal 
B: 	of ja oor die naar beneden hangen 
B: 	even kijken het zijn volgens mij de ja nee er zijn veel symmetrisch 
B: 	en hij hebben een balk bovenop 
B: 	en die die liggen plat 
A: 	ja 
A: 	welk zijn die bij jou 
B: 	N 
A: 	N 
B: 	ja Nico 
A: 	oké 
A: 	N achten 
A: 	oorbel van jou 
B: 	ja ik weten welk het zijn ik moeten hem even zoeken 
A: 	oorbel balk op het hoofd 
A: 	één 
B: 	ja E 
A: 	één 
B: 	E één 
A: 	yes 
B: 	dit zijn de die ik oorbel noemen met die driehoek 
A: 	ja ik weten wel ik weten welk je bedoelen 
B: 	dat zijn O bij mij 
A: 	oorbel dus drie ding ja 
A: 	welk zijn het 
B: 	O 
A: 	O 
A: 	O elf 
A: 	oorbel 
B: 	moeten jij 
B: 	even kijken 
A: 	bal een balk op het hoofd 
B: 	ja die balk op het hoofd 
A: 	vier 
B: 	vier 
B: 	E vier 
B: 	oké deze dit zijn die met die met die balk op het hoofd die hanenkam en die laaghangend oor 
B: 	ja oorbel 
A: 	jou oorbel 
B: 	ja mijn oorbel in denken ik ja 
A: 	denken je of 
B: 	ja die driehoekig neus 
A: 	ja de omgedraaide driehoek inderdaad met een staaf boven 
A: 	ja 
A: 	oké 
B: 	C 
A: 	C zestien 
A: 	oorbel of die nee sorry ja die oorbel van jou 
B: 	ja die met die met die balk 
A: 	met 
A: 	met een balk op het hoofd ja 
B: 	ja 
B: 	O 
A: 	één 
B: 	O één 
