A: 	hun hebben eigenlijk de enig vorm met een soort piramide bovenop 
B: 	ja die 
A: 	en dan ja dan hebben hij onderom nog iets en nog aan de zijkant een dikkere blok en aan linkerkant hebben hij zo'n klein 
B: 	spijker of zo ja dat zijn dan J 
A: 	spijker ja ja 
B: 	ja dit zijn weer diegene met die spijker in de zijkant en die die die die 
B: 	piramide of die kegel of weten ik veel wat bovenop met die punt en dan dat raar blok aan de zijkant en dat 
A: 	ja o daar staan hij 
A: 	ja dus die dat raar plateau 
B: 	ja en dat cirkel nog dat schijf aan de onderkant ja dat zijn hem 
A: 	ja 
A: 	ja 
A: 	dat zijn dan Numero zeven 
A: 	ja dit zijn met die piramide weer bovenop met zo'n heel dik neus achtig blok en dan spijker spijker aan de zijkant ja 
B: 	en die spijker die erin gaan 
B: 	ja dat zijn E 
B: 	ja dit zijn weer die die kegel die piramide weten ik veel wat spijker aan de zijkant raar groot blok aan de zijkant en een soort 
B: 	koek of zo dat dat er nog bij liggen 
A: 	ja 
A: 	dat zijn dan nummer tien 
A: 	dit zijn die met die piramide bovenop en met dat spijkert aan de zijkant en een koek erbij 
B: 	ja dat zijn G 
B: 	ja hier hebben je weer die spijker aan die zijkant die piramide bovenop dat soort rond schijf onderin en dan nog dat blok dat erbij zitten 
A: 	ja 
A: 	dat zijn dan nummer tien 
