A: 	deze zitten hebben een driehoek bovenop 
A: 	en aan de linkerkant zitten er iets in wat ja met een heel klein punt zitten die erin vast 
B: 	ja 
A: 	en aan de voorkant steken ook nog een ding uit 
B: 	ja 
B: 	ja het lijken een beetje op een tent daarboven 
A: 	ja 
A: 	ja dat zijn de enig met een driehoek erbovenop 
B: 	oké 
B: 	ja 
B: 	het zijn een het zijn J 
B: 	dit zijn diegene met die driehoek aan de bovenkant en die pijl die er zo in gaan 
A: 	ja dan zijn het zes 
A: 	dit zijn die met die tent bovenop en die scherp ding aan de zijkant 
B: 	ja dat zijn E 
B: 	oké ik hebben die met de driehoek erop 
B: 	en zo één klein dinge erin 
A: 	ja dat zijn tien 
A: 	dit zijn die met die tent bovenop en dat klein insteekseltje 
B: 	ja 
B: 	dat zijn G 
B: 	oké ik hebben diegene met die piramide die driehoek aan de bovenkant en zo de pijl daarin aan de zijkant 
A: 	ja 
A: 	dat zijn tien 
