B: 	one even kijken deze hebben een een soort wokkel aan de onderkant en daaraan een driehoek 
B: 	heel kenmerken 
A: 	ja dat kunnen er maar één zijn 
B: 	ja kunnen er echt maar één zijn 
A: 	dat zijn vier voor mij 
A: 	dit zijn degeen met de spiraal aan de onderkant en dan een driehoek 
B: 	ja 
A: 	ja 
B: 	dat zijn voor mij A 
B: 	dit zijn die met het wokkel en het driehoek eronder 
A: 	ja 
A: 	dat zijn tien voor mij 
B: 	oké 
A: 	dit zijn die met de wokkel aan de onderkant en dan de driehoek 
B: 	dat zijn L voor mij 
B: 	dit zijn die weer met de wokkel en het driehoek aan de onderkant 
A: 	ja dat zijn vier voor mij 
A: 	dit zijn de met de wokkel onderaan 
B: 	ja 
B: 	F 
