A: 	okan ja deze doen mij een beetje denken aan iemand met een neuspiercing dus je hebben zeggen maar aan de voorkant hebben hij zo'n cirkel en daar zitten een soort balk doorheen 
B: 	o 
B: 	ik denken dat ik weten welk je bedoelen dat zijn bij mij F 
A: 	ok bij mij één 
B: 	dan moeten ik op de geel drukken 
A: 	ja 
B: 	dit zijn de een met de neuspiercing 
A: 	o ja bij mij zijn dat vijf 
B: 	ok bij mij D 
A: 	o ik moeten klikken toch 
B: 	o of o 
A: 	jij hebben het vierkant toch 
B: 	ja 
A: 	dan moeten ik klikken 
B: 	oepsie o wat dom 
A: 	maken niet uit 
A: 	dit zijn die neuspiercing 
B: 	even kijken o daar A 
B: 	ik weten niet welk ok ja 
A: 	ja vier 
A: 	ja 
A: 	ja sorry 
B: 	maken niet uit 
B: 	o dit zijn de neuspiercing 
A: 	o even zoeken waar hij zijn ja zijn vijf bij mij 
B: 	ok 
A: 	dit zijn de neuspiercing 
B: 	even kijken waar die o daar H 
A: 	bij mij zes o 
B: 	ja je drukken automatisch 
A: 	ja 
B: 	dit zijn de neuspiercing 
A: 	ja zijn vijftien bij mij 
B: 	ok bij mij I 
