B: 	eens even kijken hoor dit kop hebben een een staaf bovenop het kop liggen 
B: 	er zitten een soort ja een soort schep ja autokrabding zitten eraan 
A: 	even kijken hoor 
B: 	en er zitten aan de zijkant twee twee ja het zijn een soort het zijn niet echt poo want hij steunen er niet op 
B: 	ik zullen het omschrijven als twee klein raketbooster die de boel omhoog weten te stuwen maar 
A: 	okee dus zijn die even groot ongeveer zijn dat twee blok 
B: 	ja 
A: 	en daarboven zitten zijn een soort als in een koffiefiltervorm 
B: 	nee gewoon een plat staaf 
A: 	een plat staaf plat staaf bovenop 
B: 	en dan aan de voorkant zitten een een staaf langs aan de zijkant met daaronder ja ik noemen het dan een soort schep 
A: 	ah 
A: 	het zijn gewoon een balk het zitten er liggen een soort balk op 
B: 	ja 
A: 	zijn dat het 
A: 	en als je hem omdraaien zijn het een soort van alsof je alsof je thee schenken weten je wel zo'n theepot 
A: 	zo'n tuit zitten dat er link 
A: 	of bedoelen je die niet 
B: 	nee volgens mij niet 
A: 	even kijken hoor 
B: 	oef even kijken hoor 
B: 	ja aan de zijkant zijn een soort ja je zien hem aan de achterkant die die die rakerbooster waar ik het over hebben 
A: 	ja maar wat bedoelen je daarmee 
B: 	ja nou één die zitten helemaal aan de de linkerkant van het kop aan de voorkant en de ander zitten er eigenlijk net achter die kunnen je amper zien 
A: 	ah 
B: 	maar het zijn je kunnen het ook zien als een soort bloempot die afgekaptten zijn 
A: 	bloempo die 
A: 	staan die hiertussen bij mij ? wachten even hoor 
B: 	even kijken hoor 
B: 	ja wat 
B: 	dit zijn 
A: 	er liggen een balk op het komme 
B: 	ja een beetje 
B: 	beetje schuin niet echt 
B: 	zeggen maar hij zitten niet precies in de de lijn van het kop maar hij staan er een beetje schuin op 
A: 	okee 
B: 	ja en er zitten dus aan de rechtervoorkant net voordat de schaduw van het kop beginnen zitten er een heel klein dun staaf naar beneden 
A: 	ja 
A: 	ah ja ja 
B: 	en daar 
A: 	okee we hebben het wel over dezelfde denken ik 
A: 	okee ja nee dan weten ik hem denken ik vijfteen 
A: 	ja dit zijn die moeilijk die we daarnet moeilijk vinden omdat jij hem omschrijven als een booster en ik als een omgekeerde theepot 
B: 	ja even kijken dan moeten ik even zoeken waar staan die waar 
A: 	met dat balk bovenop 
B: 	ja ja ja dat zijn c 
A: 	ja 
B: 	deze waar we het net zo moeilijk mee hebben met het het schep en de 
A: 	de theepot 
B: 	ja 
A: 	nummer zestien 
A: 	dit zijn mijn theepot en jou booster 
B: 	ja eens even kijken dat zijn a 
B: 	dit zijn de theepot slash raketbooster 
A: 	de theepot slash Raketbooster waar staan die nummer negen 
A: 	dit zijn de omgekeerde theepot en voor jou dan met dat raket 
B: 	ja eens even kijken waar staan die waar staan die dat zijn p 
