B: 	die van mij die vinden deze vinden ik eigenlijk nergens op lijken maar hij hebben een een bolle op de rechts voorkant 
B: 	en een kegel bovenop en een schoorsteen bovenop en een gevouwen blaad 
B: 	een gevouwen dinge naar de zijkant 
A: 	een driehoek 
B: 	ja 
B: 	in een driehoek 
A: 	ja 
A: 	lijken op een soort konijn eigenlijk 
B: 	ja zo zullen je het kunnen zien ja 
A: 	dan zijn het nummer veertien 
A: 	dit zijn die het konijn 
A: 	dit zijn met die bol rechtsvoor 
B: 	waar het konijn waar zijn het konijn 
B: 	ja met dat bolle voor en die die gevouwen het gevouwen stuk ook 
A: 	en zo'n balk bovenop en dan links zo'n zo'n driehoek 
B: 	kegel 
B: 	ja ja ja bij mij zijn dat N 
B: 	dit zijn dat konijn met dat bolle voorop 
A: 	ja 
B: 	en die twee kegel boven 
A: 	dat zijn nummer negen 
A: 	het konijn 
A: 	met de bol aan de voorkant en de twee 
B: 	ja dat zijn G 
B: 	het konijn met het bolle aan de voorkant 
B: 	en het gevouwen blaad aan de links kant ja 
A: 	ja 
A: 	zijn nummer vijf 
A: 	konijn 
B: 	waar zijn je ? waar zijn je ? waar zijn je 
B: 	ja dat zijn J 
