B: 	okee ik moeten beginnen het zijn een beker waarvan je een schijf voor de helft zien die zitten zeggen maar als een citroenschijfje zo erop en dan opsteken er vervolgens nog een soort kegel rechts bovenuit en er zijn nog een soort staaf link die eruit opsteken en nog een soort vierkant plaat die naar beneden opsteken 
A: 	ja 
A: 	vijfteen 
B: 	okee dan mogen je op de knop drukken denken ik 
A: 	dat kunnen jij niet zien dat dat goed zijn ja 
B: 	nee 
A: 	deze hebben aan de achterkant een rond schijf zo er tegenaan en aan de linkerkant een rond koker en aan de bovenkant nog zo'n zo'n kegel 
A: 	klein ja een kegel erbovenop 
A: 	en dan 
B: 	dus die cirkel die weer zeggen maar met dat citroen erin om het maar even zo te zeggen kloppen dat 
B: 	dus die cirkel zien je maar voor de helft 
A: 	ja aan de achterkant 
B: 	ja 
A: 	en dan aan de linkerkant een soort rond koker 
B: 	ja ja ja p 
A: 	ja 
B: 	dit zijn weer de emmer waar dat citroent zeggen maar links bovenuit opsteken en dan dus zeggen maar die half cirkel zien je rechts zitten een soort ja soort kegel en dan links opsteken er ook zo'n staaf uit en daaronder weer die 
A: 	ja 
A: 	ja zestien 
B: 	ja 
A: 	dit zijn die met die rond schijf aan de achterkant dat kegel rechtsbovenop en 
B: 	ja ja 
B: 	n 
B: 	dit zijn de emmer waar het citroen zo half achter zitten met de staaf links uitstekend en een kegel zeggen maar nog zo rechts naar boven 
A: 	ja 
A: 	ja dertien 
A: 	dit zijn de het citroen aan de achterkant met het kegel 
B: 	ja 
B: 	i 
