A: 	ja 
B: 	oké nu zijn het andersom 
A: 	oké ik hebben het vak 
B: 	ja 
A: 	deze vinden ik het zijn zeggen maar ja het zijn ook weer een roerstaafje erin zeggen maar 
A: 	en ja ik noemen het even de neus daar zitten zeggen maar een een een een een een staaf doorheen horizontaal zijn een soort piercing noemen ik het eigenlijk 
B: 	ja 
B: 	ja ja 
B: 	en dan zitten aan het eind zo'n rond zeggen maar zo'n schotel 
A: 	ja dat zijn hem 
B: 	oké dat zijn voor mij F 
B: 	oké nu hebben ik die met dat ja soort van neusje aan de zijkant waar dat staaf doorheen zitten met zo'n schild 
B: 	en dan hebben die één zo'n roerstaafje erin 
B: 	dus dat zijn dat ja 
A: 	ja ja 
A: 	ja die neuspiercing zeggen maar 
B: 	ja die 
A: 	ja 
B: 	met dat die staaf erdoorheen 
A: 	ja ja heel en dan ja oké 
B: 	en dan zo'n ja 
A: 	helemaal goed 
B: 	ho 
A: 	dat zijn nummer vijf 
A: 	zijn met de neuspiercing 
B: 	ja 
A: 	één staaf één lepel zeggen maar 
B: 	met één zo'n ja dat zijn A 
B: 	oké nu hebben ik met die neuspiercing 
A: 	ja 
A: 	ja nummer vijf 
A: 	oeh 
A: 	de neuspiercing met één met het schild aan de aan de aan de uiteinde van de 
B: 	ja 
B: 	even kijken dat zijn bij mij H 
B: 	nu hebben ik met die neuspiercing 
A: 	ah nummer vijftien 
