A: 	dus je hebben dat bakkie en dan aan de rechterkant steken er twee rechthoek uit 
B: 	ja 
A: 	voor jou dus hier 
A: 	en aan de linkerkant zitten een soort klein dunn dinge 
B: 	oké 
A: 	en aan de onderkant zitten nog een soort zeggen maar dat vierkant buisstaafje naar achter toe 
B: 	ja 
A: 	en bovenop zitten zo'n trapeziumvormpje 
B: 	ja 
B: 	letter I 
B: 	ik vinden het op een deur lijken je hebben links een klink 
B: 	die je kunnen doen en dan rechts hebben je de cilinder die zorgen dat de deur kunnen draaien 
B: 	en daarbovenop staan een trapezium 
B: 	het zijn het beker 
A: 	ja ik ik zoeken hem heel even 
A: 	ja ik denken ja 
B: 	en die hebben een trapezium 
A: 	ja 
B: 	en 
A: 	zo'n soort soort koelkastdeur ja ja 
A: 	er zitten nog een klein stulp linksonder ook 
B: 	je 
B: 	ik denken aan van een onderzeeër maar 
A: 	ja ja dat hebben ik ook 
B: 	ja 
A: 	oké 
A: 	nummer twee 
A: 	dit zijn wat jij vinden lijken op dat onderzeeërdeur 
A: 	met de klinkje en die twee dinge aan de zijkant 
B: 	ja 
B: 	sorry letter M 
B: 	ja 
B: 	nee 
A: 	oké 
A: 	geen idee 
B: 	het zijn wat ik die onderzeedeur vinden met trapezium op hem 
A: 	ja 
A: 	nummer negen 
A: 	je onderzeeërdeur 
B: 	yes 
B: 	ja 
B: 	F 
B: 	de deur van de onderzeeër 
A: 	nummer zes 
