A: 	er komen een soort aan de bovenkant een soort van vierkant vlak uit wat er een beetje schuin in vallen 
A: 	en dan hebben je aan beide kant een soort van staaf wat erdoorheen zitten 
A: 	en aan de linkerkant zijn die kort als aan de rechterkant 
B: 	en onder dat schuin vlak zitten nog zo'n dinge 
A: 	ja ja 
B: 	ja 
B: 	en die een zijn zo en die ander gaan een klein beetje omhoog 
A: 	ja 
B: 	ja 
B: 	dat zijn bij mij K 
B: 	dit zijn de mok met het vierkant muntstuk wat ondersteunen worden door een pilaar 
B: 	er gaan er één aan deze kant doorheen die zijn wat klein 
B: 	en aan die kant gaan er één doorheen die hebben die zijn wat wat wat wat wat lang 
B: 	en die gaan een klein beetje omhoog 
A: 	even kijken een vierkant vlak 
B: 	wat erin verdwijnen zeggen maar geen muntstuk maar een een vierkant vlak 
A: 	ja 
A: 	met dat dinge eronder 
B: 	eronder 
A: 	aan dat schuin vierkant vlak 
B: 	ja daar zitten nog een ondersteuning onder 
A: 	zitten een dinge onder 
B: 	en dan het het dinge wat er aan de linkerkant doorheen gaan zijn wat dikk maar wat kort 
B: 	en die aan de rechterkant eruit komen die zijn wat bred en worden dan wat weinig 
B: 	en die zijn ook lang 
A: 	ja 
B: 	en ze hebben al twee zo'n rond aan de de staaf zeggen maar 
A: 	nummer 
A: 	ja 
A: 	dat zijn nummer negen 
A: 	deze hebben aan allebei de kant zo'n stange die eruit komen met zo'n bolle erop en dan zo'n schuin 
A: 	vierkant vlak wat erin vallen 
A: 	met een dinge er onderaan 
B: 	ja 
A: 	onderaan dat vierkant vlak 
B: 	ja 
B: 	dat zijn bij mij F 
B: 	dit zijn die met de vierkant vierkant muntstuk 
B: 	die erin verdwijnen met dat dinge eronder 
B: 	ja hij staan bij mij rechts hoe heten dat ? links linksonderin in het vak een beetje 
B: 	aan deze kant komen er die staaf uit die wat klein zijn met een rond daaraan 
B: 	en die kant een staaf die wat lang zijn maar net wel iets dunn 
A: 	ja 
B: 	daar zitten ook een rond op en die gaan een klein beetje omhoog 
A: 	ja en dat vierkant vlak wat erin vallen vaststaan schuin 
B: 	ja 
A: 	ja 
B: 	en die worden dus ondersteunen door zo'n ding 
A: 	ja 
B: 	ja 
A: 	dat zijn nummer drie 
A: 	ik hebben deze omschrijven als een spagaat maar dat zijn die een met dat schuin vlak wat erin vallen en dan aan allebei de kant komen er een staaf uit met een bolle aan 
A: 	dat en die staaf één zijn lang dan de ander 
B: 	ja ja ja 
B: 	dat zijn bij mij L 
B: 	dit zijn die met dat platform wat er zo in vallen zeggen maar 
A: 	ja 
B: 	of dat dat dat vierkantje wat er zo in vallen ondersteunen en dan hebben die twee staf 
A: 	ja 
A: 	ja 
A: 	spagaat 
B: 	ja de spagaat inderdaad die jij zo noemen 
A: 	vijf 
